Symbol,% Chg(Open),Last Trade,Change,High  ,Low   ,Volume    ,Prev Close,Open  ,% Change,Market Cap,Sector                ,Exchange,P/E (ttm), 
VALE  ,-4.17      ,9.42      ,-0.51 ,9.85  ,9.41  ,23613315  ,9.93      ,9.83  ,-5.14   ,50.69B    ,Materials             ,NYSE    ,13.46    , 
RIO   ,-2.84      ,39.87     ,-0.74 ,41.07 ,39.73 ,6559682   ,40.61     ,41.03 ,-1.83   ,55.50B    ,Materials             ,NYSE    ,15.91    , 
PAGP  ,-2.76      ,31.85     ,-1.16 ,32.95 ,31.77 ,1813398   ,33.00     ,32.75 ,-3.50   ,5.00B     ,Energy                ,NYSE    ,35.11    , 
RDY   ,-2.76      ,41.29     ,-1.15 ,42.71 ,40.94 ,580505    ,42.44     ,42.46 ,-2.71   ,7.08B     ,Health Care           ,NYSE    ,49.68    , 
PB    ,-2.64      ,74.23     ,-0.68 ,76.28 ,74.19 ,161547    ,74.91     ,76.24 ,-0.91   ,5.20B     ,Financials            ,NYSE    ,19.02    , 
OKE   ,-2.63      ,55.11     ,-1.47 ,56.76 ,54.99 ,1118888   ,56.58     ,56.60 ,-2.60   ,11.92B    ,Energy                ,NYSE    ,34.08    , 
THO   ,-2.60      ,101.59    ,-2.42 ,105.00,100.84,1263053   ,104.01    ,104.30,-2.33   ,5.47B     ,Consumer Discretionary,NYSE    ,19.24    , 
UAA   ,-2.53      ,19.25     ,-0.44 ,21.46 ,19.11 ,5822652   ,19.69     ,19.75 ,-2.23   ,7.61B     ,Consumer Discretionary,NYSE    ,44.24    , 
OKS   ,-2.44      ,53.53     ,-1.36 ,55.00 ,53.42 ,202974    ,54.89     ,54.87 ,-2.48   ,11.68B    ,Energy                ,NYSE    ,24.39    , 
PBCT  ,-2.31      ,18.83     ,-0.26 ,19.29 ,18.82 ,2805877   ,19.09     ,19.27 ,-1.39   ,6.05B     ,Financials            ,NGM/NGS ,20.79    , 
WBS   ,-2.30      ,54.81     ,-0.41 ,56.53 ,54.81 ,284302    ,55.22     ,56.10 ,-0.74   ,5.08B     ,Financials            ,NYSE    ,25.56    , 
BBL   ,-2.24      ,31.48     ,-1.36 ,32.21 ,31.41 ,1312577   ,32.84     ,32.20 ,-4.14   ,34.56B    ,Materials             ,NYSE    ,35.24    , 
SBRCY ,-2.17      ,11.05     ,-0.32 ,11.32 ,11.05 ,133520    ,11.37     ,11.30 ,-2.81   ,59.80B    ,Financials            ,OTC     ,7.44     , 
WES   ,-2.14      ,61.54     ,-1.60 ,63.08 ,61.46 ,257387    ,63.14     ,62.88 ,-2.54   ,8.25B     ,Energy                ,NYSE    ,36.29    , 
BHP   ,-2.13      ,36.65     ,-1.50 ,37.54 ,36.58 ,1965203   ,38.15     ,37.45 ,-3.93   ,62.21B    ,Materials             ,NYSE    ,40.95    , 
URI   ,-2.11      ,126.12    ,-2.03 ,129.98,125.56,865704    ,128.15    ,128.84,-1.58   ,10.80B    ,Industrials           ,NYSE    ,19.87    , 
HCP   ,-2.11      ,30.41     ,-0.90 ,31.06 ,30.35 ,1839443   ,31.30     ,31.06 ,-2.86   ,14.65B    ,Real Estate           ,NYSE    ,23.38    , 
O     ,-2.07      ,57.99     ,-1.85 ,59.39 ,57.92 ,1597101   ,59.84     ,59.22 ,-3.09   ,16.22B    ,Real Estate           ,NYSE    ,52.96    , 
PACW  ,-2.00      ,55.51     ,-0.60 ,56.83 ,55.44 ,297289    ,56.11     ,56.64 ,-1.07   ,6.73B     ,Financials            ,NSC     ,19.38    , 
BRX   ,-1.96      ,21.21     ,-0.60 ,21.72 ,21.12 ,1688684   ,21.81     ,21.63 ,-2.77   ,6.64B     ,Real Estate           ,NYSE    ,23.94    , 
