Symbol,% Chg(Open),Last Trade,Change,High  ,Low   ,Volume    ,Prev Close,Open  ,% Change,Market Cap,Sector                ,Exchange,P/E (ttm), 
VALE  ,-4.17      ,9.42      ,-0.51 ,9.85  ,9.41  ,23645048  ,9.93      ,9.83  ,-5.14   ,50.69B    ,Materials             ,NYSE    ,13.46    , 
RIO   ,-2.94      ,39.83     ,-0.78 ,41.07 ,39.73 ,6567771   ,40.61     ,41.03 ,-1.93   ,55.50B    ,Materials             ,NYSE    ,15.91    , 
PAGP  ,-2.87      ,31.81     ,-1.19 ,32.95 ,31.77 ,1816020   ,33.00     ,32.75 ,-3.61   ,5.00B     ,Energy                ,NYSE    ,35.11    , 
THO   ,-2.65      ,101.54    ,-2.47 ,105.00,100.84,1269510   ,104.01    ,104.30,-2.37   ,5.47B     ,Consumer Discretionary,NYSE    ,19.24    , 
OKE   ,-2.61      ,55.12     ,-1.46 ,56.76 ,54.99 ,1126189   ,56.58     ,56.60 ,-2.58   ,11.92B    ,Energy                ,NYSE    ,34.08    , 
UAA   ,-2.56      ,19.25     ,-0.44 ,21.46 ,19.11 ,5828522   ,19.69     ,19.75 ,-2.26   ,7.61B     ,Consumer Discretionary,NYSE    ,44.24    , 
PBCT  ,-2.34      ,18.82     ,-0.27 ,19.29 ,18.81 ,2827646   ,19.09     ,19.27 ,-1.41   ,6.05B     ,Financials            ,NGM/NGS ,20.79    , 
BBL   ,-2.30      ,31.46     ,-1.38 ,32.21 ,31.41 ,1317120   ,32.84     ,32.20 ,-4.20   ,34.56B    ,Materials             ,NYSE    ,35.24    , 
HCP   ,-2.16      ,30.39     ,-0.91 ,31.06 ,30.35 ,1850286   ,31.30     ,31.06 ,-2.91   ,14.65B    ,Real Estate           ,NYSE    ,23.38    , 
BHP   ,-2.14      ,36.65     ,-1.50 ,37.54 ,36.58 ,1968210   ,38.15     ,37.45 ,-3.93   ,62.21B    ,Materials             ,NYSE    ,40.95    , 
O     ,-2.09      ,57.98     ,-1.86 ,59.39 ,57.92 ,1602239   ,59.84     ,59.22 ,-3.10   ,16.22B    ,Real Estate           ,NYSE    ,52.96    , 
BRX   ,-1.99      ,21.20     ,-0.61 ,21.72 ,21.12 ,1694821   ,21.81     ,21.63 ,-2.80   ,6.64B     ,Real Estate           ,NYSE    ,23.94    , 
MT    ,-1.91      ,8.495     ,-0.075,8.72  ,8.48  ,10915206  ,8.57      ,8.66  ,-0.88   ,26.47B    ,Materials             ,NYSE    ,13.82    , 
CFG   ,-1.88      ,37.85     ,-0.12 ,38.64 ,37.83 ,2113266   ,37.97     ,38.57 ,-0.33   ,19.33B    ,Financials            ,NYSE    ,19.27    , 
KIM   ,-1.85      ,22.23     ,-0.52 ,22.65 ,22.12 ,2573284   ,22.75     ,22.65 ,-2.29   ,9.68B     ,Real Estate           ,NYSE    ,28.80    , 
ZTO   ,-1.85      ,12.20     ,-0.09 ,12.44 ,12.17 ,1986195   ,12.29     ,12.43 ,-0.73   ,6.46B     ,Industrials           ,NYSE    ,28.03    , 
NVDA  ,-1.85      ,98.84     ,+0.10 ,101.30,98.63 ,12699534  ,98.74     ,100.70,+0.10   ,58.16B    ,Information Technology,NGM/NGS ,38.42    , 
DLR   ,-1.82      ,105.26    ,-2.22 ,107.21,104.72,1149118   ,107.48    ,107.21,-2.07   ,17.12B    ,Real Estate           ,NYSE    ,48.85    , 
UA    ,-1.80      ,17.78     ,-0.34 ,18.86 ,17.74 ,2388418   ,18.11     ,18.10 ,-1.85   ,7.61B     ,Consumer Discretionary,NYSE    ,40.69    , 
BX    ,-1.79      ,29.08     ,-0.31 ,29.61 ,29.07 ,1763047   ,29.39     ,29.61 ,-1.05   ,17.27B    ,Financials            ,NYSE    ,18.81    , 
