Symbol,% Chg(Open),Last Trade,Change,High  ,Low   ,Volume   ,Prev Close,Open  ,% Change,Market Cap,Sector                ,Exchange,P/E (ttm), 
DVN   ,-5.09      ,40.86     ,-2.70 ,43.26 ,40.48 ,4922741  ,43.56     ,43.05 ,-6.20   ,22.85B    ,Energy                ,NYSE    ,--       , 
RSPP  ,-3.58      ,38.63     ,-2.06 ,40.53 ,38.34 ,1246387  ,40.68     ,40.06 ,-5.05   ,5.80B     ,Energy                ,NYSE    ,--       , 
CLR   ,-3.52      ,43.90     ,-2.06 ,45.75 ,43.61 ,2232826  ,45.96     ,45.50 ,-4.48   ,17.21B    ,Energy                ,NYSE    ,--       , 
CNQ   ,-3.29      ,29.57     ,-1.20 ,30.59 ,29.43 ,1582756  ,30.77     ,30.57 ,-3.92   ,34.30B    ,Energy                ,NYSE    ,--       , 
NBL   ,-3.26      ,34.46     ,-1.42 ,35.75 ,34.29 ,3926181  ,35.88     ,35.62 ,-3.96   ,15.63B    ,Energy                ,NYSE    ,--       , 
EGN   ,-3.19      ,51.07     ,-2.22 ,52.94 ,50.80 ,1221408  ,53.29     ,52.75 ,-4.18   ,5.18B     ,Energy                ,NYSE    ,--       , 
RIO   ,-2.91      ,39.84     ,-0.78 ,41.07 ,39.73 ,6562531  ,40.61     ,41.03 ,-1.91   ,55.50B    ,Materials             ,NYSE    ,15.91    , 
CXO   ,-2.90      ,128.65    ,-4.89 ,133.81,127.95,1005380  ,133.54    ,132.49,-3.66   ,19.79B    ,Energy                ,NYSE    ,--       , 
EOG   ,-2.90      ,95.95     ,-3.58 ,99.36 ,95.55 ,2540247  ,99.53     ,98.81 ,-3.60   ,57.44B    ,Energy                ,NYSE    ,--       , 
TRGP  ,-2.87      ,57.18     ,-1.89 ,59.06 ,57.05 ,1031379  ,59.07     ,58.87 ,-3.20   ,11.46B    ,Energy                ,NYSE    ,--       , 
NFX   ,-2.81      ,34.59     ,-1.27 ,35.95 ,34.32 ,3519268  ,35.86     ,35.59 ,-3.54   ,7.13B     ,Energy                ,NYSE    ,--       , 
PAGP  ,-2.76      ,31.85     ,-1.16 ,32.95 ,31.77 ,1813858  ,33.00     ,32.75 ,-3.50   ,5.00B     ,Energy                ,NYSE    ,35.11    , 
FANG  ,-2.69      ,101.30    ,-3.28 ,104.85,100.28,1266509  ,104.58    ,104.10,-3.14   ,9.43B     ,Energy                ,NASDAQ  ,--       , 
COP   ,-2.68      ,46.14     ,-1.58 ,47.66 ,45.90 ,6191054  ,47.72     ,47.41 ,-3.31   ,58.97B    ,Energy                ,NYSE    ,--       , 
PXD   ,-2.67      ,187.83    ,-6.11 ,194.31,186.75,1311825  ,193.94    ,192.99,-3.15   ,32.93B    ,Energy                ,NYSE    ,--       , 
OKE   ,-2.63      ,55.11     ,-1.47 ,56.76 ,54.99 ,1119709  ,56.58     ,56.60 ,-2.60   ,11.92B    ,Energy                ,NYSE    ,34.08    , 
THO   ,-2.58      ,101.61    ,-2.40 ,105.00,100.84,1263453  ,104.01    ,104.30,-2.31   ,5.47B     ,Consumer Discretionary,NYSE    ,19.24    , 
SU    ,-2.57      ,30.29     ,-1.10 ,31.29 ,30.26 ,2311077  ,31.39     ,31.09 ,-3.50   ,52.46B    ,Energy                ,NYSE    ,--       , 
APA   ,-2.55      ,49.75     ,-1.53 ,51.35 ,49.55 ,3101984  ,51.28     ,51.05 ,-2.98   ,19.47B    ,Energy                ,NYSE    ,--       , 
PE    ,-2.37      ,30.51     ,-0.94 ,31.42 ,30.28 ,2728738  ,31.45     ,31.25 ,-2.99   ,7.75B     ,Energy                ,NYSE    ,--       , 
