Symbol,% Chg(Open),Last Trade,Change ,High  ,Low   ,Volume    ,Prev Close,Open  ,% Change,Market Cap,Sector                ,Exchange,P/E (ttm), 
RAD   ,-6.24      ,4.7163    ,-0.2937,5.03  ,4.6602,32600250  ,5.01      ,5.03  ,-5.86   ,5.28B     ,Consumer Staples      ,NYSE    ,63.04    , 
ERF   ,-5.47      ,8.47      ,-0.58  ,9.03  ,8.38  ,1787659   ,9.05      ,8.96  ,-6.41   ,2.18B     ,Energy                ,NYSE    ,6.97     , 
SID   ,-5.08      ,3.36      ,-0.23  ,3.55  ,3.32  ,1776694   ,3.59      ,3.54  ,-6.41   ,4.99B     ,Materials             ,NYSE    ,13.21    , 
VALE  ,-4.13      ,9.4245    ,-0.5055,9.85  ,9.41  ,23641548  ,9.93      ,9.83  ,-5.09   ,50.69B    ,Materials             ,NYSE    ,13.46    , 
CLF   ,-3.83      ,9.155     ,-0.275 ,9.62  ,9.13  ,9623682   ,9.43      ,9.52  ,-2.92   ,2.80B     ,Materials             ,NYSE    ,10.83    , 
CIEN  ,-3.66      ,23.95     ,-2.22  ,25.14 ,23.52 ,12616803  ,26.17     ,24.86 ,-8.48   ,3.70B     ,Information Technology,NYSE    ,50.96    , 
CIG   ,-3.61      ,3.47      ,-0.23  ,3.635 ,3.43  ,5255665   ,3.70      ,3.60  ,-6.22   ,4.91B     ,Utilities             ,NYSE    ,17.89    , 
ESV   ,-3.32      ,8.875     ,-0.395 ,9.41  ,8.77  ,9562371   ,9.27      ,9.18  ,-4.26   ,2.81B     ,Energy                ,NYSE    ,2.96     , 
FHN   ,-3.24      ,19.56     ,-0.38  ,20.22 ,19.55 ,1835057   ,19.93     ,20.21 ,-1.88   ,4.66B     ,Financials            ,NYSE    ,21.20    , 
RIO   ,-2.94      ,39.83     ,-0.78  ,41.07 ,39.73 ,6567206   ,40.61     ,41.03 ,-1.93   ,55.50B    ,Materials             ,NYSE    ,15.91    , 
PAGP  ,-2.87      ,31.81     ,-1.19  ,32.95 ,31.77 ,1815820   ,33.00     ,32.75 ,-3.61   ,5.00B     ,Energy                ,NYSE    ,35.11    , 
THO   ,-2.75      ,101.43    ,-2.58  ,105.00,100.84,1267960   ,104.01    ,104.30,-2.48   ,5.47B     ,Consumer Discretionary,NYSE    ,19.24    , 
OKE   ,-2.72      ,55.06     ,-1.52  ,56.76 ,54.99 ,1122424   ,56.58     ,56.60 ,-2.69   ,11.92B    ,Energy                ,NYSE    ,34.08    , 
BPOP  ,-2.58      ,42.21     ,-0.56  ,43.53 ,41.93 ,1111455   ,42.77     ,43.33 ,-1.31   ,4.44B     ,Financials            ,NGM/NGS ,20.75    , 
UAA   ,-2.58      ,19.24     ,-0.45  ,21.46 ,19.11 ,5827942   ,19.69     ,19.75 ,-2.29   ,7.61B     ,Consumer Discretionary,NYSE    ,44.24    , 
PBCT  ,-2.39      ,18.81     ,-0.28  ,19.29 ,18.81 ,2824146   ,19.09     ,19.27 ,-1.47   ,6.05B     ,Financials            ,NGM/NGS ,20.79    , 
BBL   ,-2.30      ,31.46     ,-1.38  ,32.21 ,31.41 ,1316271   ,32.84     ,32.20 ,-4.20   ,34.56B    ,Materials             ,NYSE    ,35.24    , 
VLY   ,-2.28      ,12.42     ,-0.03  ,12.71 ,12.42 ,1043526   ,12.45     ,12.71 ,-0.24   ,3.28B     ,Financials            ,NYSE    ,19.76    , 
MPW   ,-2.18      ,12.35     ,-0.30  ,12.64 ,12.30 ,2421843   ,12.65     ,12.62 ,-2.41   ,4.06B     ,Real Estate           ,NYSE    ,14.71    , 
TRQ   ,-2.17      ,3.15      ,-0.07  ,3.24  ,3.15  ,2269530   ,3.22      ,3.22  ,-2.17   ,6.48B     ,Materials             ,NYSE    ,22.47    , 
