Symbol,Description              ,Last Trade,Volume    ,% Chg(Open),Exchange ,Dividend,Relative Strength, 
APRI  ,APRICUS BIOSCIENCES INC  ,2.819     ,1275298   ,-15.85     ,NASDAQ   ,--      ,--               , 
IGT   ,INTL GAME TECHNOLOGY PLC ,23.57     ,3807864   ,-14.26     ,NYSE     ,0.80    ,78.00            , 
HCLP  ,HI-CRUSH PARTNERS LP     ,14.65     ,4982182   ,-13.82     ,NYSE     ,--      ,19.00            , 
VNET  ,21VIANET GROUP INC       ,5.695     ,4295705   ,-13.71     ,NASDAQ   ,--      ,12.00            , 
PRKR  ,PARKERVISION INC         ,2.39      ,1889143   ,-13.09     ,NCM      ,--      ,4.00             , 
ERII  ,ENERGY RECOVERY INC      ,7.91      ,1168217   ,-12.11     ,NASDAQ   ,--      ,6.00             , 
SND   ,SMART SAND INC           ,13.33     ,1279681   ,-11.68     ,NASDAQ   ,--      ,94.00            , 
TELL  ,TELLURIAN INC            ,9.98      ,2242647   ,-10.89     ,NASDAQ   ,--      ,--               , 
CVEO  ,CIVEO CORP               ,2.945     ,2074355   ,-10.49     ,NYSE     ,--      ,--               , 
PLPM  ,PLANET PAYMENT INC       ,3.82      ,1065982   ,-9.48      ,NASDAQ   ,--      ,66.00            , 
EMES  ,EMERGE ENERGY SERVICES LP,13.73     ,1128663   ,-8.95      ,NYSE     ,--      ,97.00            , 
SMTC  ,SEMTECH CORP             ,33.95     ,2572971   ,-8.37      ,NCM      ,--      ,74.00            , 
ELF   ,E.L.F. BEAUTY INC        ,28.46     ,3862598   ,-8.29      ,NYSE     ,--      ,11.00            , 
MOMO  ,MOMO INC  -ADR           ,30.21     ,18263956  ,-8.26      ,NASDAQ   ,--      ,95.00            , 
BIOC  ,BIOCEPT INC              ,2.10      ,1243844   ,-7.49      ,NASDAQ   ,--      ,--               , 
RNVA  ,RENNOVA HEALTH INC       ,2.3599    ,2390624   ,-7.45      ,NASDAQ   ,--      ,24.00            , 
PIR   ,PIER 1 IMPORTS INC/DE    ,6.555     ,2158054   ,-7.42      ,NYSE     ,0.28    ,89.00            , 
MTW   ,MANITOWOC CO             ,5.71      ,1902460   ,-7.31      ,NYSE     ,--      ,54.00            , 
ASNA  ,ASCENA RETAIL GROUP INC  ,4.26      ,4739177   ,-6.37      ,NGM/NGS  ,--      ,1.00             , 
ESPR  ,ESPERION THERAPEUTICS INC,32.06     ,1933414   ,-5.82      ,NASDAQ   ,--      ,100.00           , 
XOG   ,EXTRACTION OIL & GAS INC ,16.08     ,1018145   ,-5.69      ,NASDAQ   ,--      ,3.00             , 
ZTO   ,ZTO EXPRESS (CAYM) INC -A,11.58     ,3340774   ,-5.31      ,NYSE     ,--      ,13.00            , 
TTI   ,TETRA TECHNOLOGIES INC/DE,3.845     ,1511868   ,-5.30      ,NYSE     ,--      ,2.00             , 
HMY   ,HARMONY GOLD MINING CO LT,2.09      ,5005114   ,-5.00      ,NYSE     ,0.07    ,43.00            , 
TEX   ,TEREX CORP               ,29.55     ,2088243   ,-4.99      ,NYSE     ,0.32    ,66.00            , 
CENX  ,CENTURY ALUMINUM CO      ,12.38     ,2681028   ,-4.73      ,NGM/NGS  ,--      ,99.00            , 
GGB   ,GERDAU SA                ,3.66      ,9800090   ,-4.69      ,NYSE     ,0.02    ,80.00            , 
USLV  ,                         ,13.27     ,1771918   ,-4.67      ,NASDAQ   ,--      ,--               , 
EXP   ,EAGLE MATERIALS INC      ,96.45     ,1617835   ,-4.50      ,NYSE     ,0.40    ,54.00            , 
SGYP  ,SYNERGY PHARMACEUTICALS I,5.3001    ,4506289   ,-4.50      ,NASDAQ   ,--      ,61.00            , 
EXAS  ,EXACT SCIENCES CORP      ,21.05     ,2163999   ,-4.49      ,NCM      ,--      ,99.00            , 
IPXL  ,IMPAX LABORATORIES INC   ,9.125     ,2154427   ,-4.45      ,NASDAQ   ,--      ,1.00             , 
ERF   ,ENERPLUS CORP            ,8.00      ,1603275   ,-4.42      ,NYSE     ,0.09    ,19.00            , 
CIG   ,CIA ENERGETICA DE MINAS  ,3.315     ,4930201   ,-4.19      ,NYSE     ,0.19    ,99.00            , 
SPWR  ,SUNPOWER CORP            ,7.186     ,2349122   ,-4.19      ,NCM      ,--      ,92.00            , 
FRAC  ,KEANE GROUP INC          ,15.11     ,2903373   ,-4.19      ,NYSE     ,--      ,--               , 
TLRD  ,TAILORED BRANDS INC      ,15.85     ,14486745  ,-4.14      ,NYSE     ,0.72    ,91.00            , 
JNUG  ,DIREXION DLY JR GOLD MNRS,5.39      ,50782004  ,-3.92      ,NYSE     ,--      ,11.00            , 
FMSA  ,FAIRMOUNT SANTROL HOLDING,7.2299    ,20764125  ,-3.86      ,NYSE     ,--      ,71.00            , 
IONS  ,IONIS PHARMACEUTICALS INC,45.19     ,1378778   ,-3.85      ,NASDAQ   ,--      ,94.00            , 
NCV   ,ALLIANZGI CONV & INCOME F,6.54      ,1052218   ,-3.82      ,NYSE     ,0.78    ,57.00            , 
CLNS  ,COLONY NORTHSTAR INC     ,12.96     ,3814442   ,-3.79      ,NYSE     ,0.96    ,23.00            , 
GV    ,GOLDFIELD CORP           ,8.10      ,1931129   ,-3.57      ,NYSE AMEX,--      ,100.00           , 
GNC   ,GNC HOLDINGS INC         ,7.43      ,2806159   ,-3.38      ,NYSE     ,--      ,1.00             , 
EXG   ,EATON VANCE TAX-MNGD GLBL,8.30      ,2143091   ,-3.38      ,NYSE     ,0.91    ,62.00            , 
SCMP  ,SUCAMPO PHARMACEUTICALS I,11.31     ,1145636   ,-3.37      ,NASDAQ   ,--      ,3.00             , 
DDR   ,DDR CORP                 ,13.09     ,5660976   ,-3.36      ,NYSE     ,0.76    ,13.00            , 
CBI   ,CHICAGO BRIDGE & IRON CO ,29.99     ,1397919   ,-3.29      ,NYSE     ,0.28    ,30.00            , 
VRX   ,VALEANT PHARMACEUTICALS I,11.57     ,14304774  ,-3.27      ,NYSE     ,--      ,6.00             , 
SVU   ,SUPERVALU INC            ,3.37      ,4300791   ,-3.16      ,NYSE     ,--      ,3.00             , 
