Symbol,% Change,Description              ,Last Trade,Volume    ,% Chg(Open),Exchange ,Dividend,Relative Strength, 
TLRD  ,-32.20  ,TAILORED BRANDS INC      ,15.85     ,14488845  ,-4.14      ,NYSE     ,0.72    ,91.00            , 
VNET  ,-19.22  ,21VIANET GROUP INC       ,5.695     ,4296305   ,-13.71     ,NASDAQ   ,--      ,12.00            , 
FMSA  ,-16.51  ,FAIRMOUNT SANTROL HOLDING,7.23      ,20769235  ,-3.86      ,NYSE     ,--      ,71.00            , 
HCLP  ,-15.07  ,HI-CRUSH PARTNERS LP     ,14.65     ,4984884   ,-13.82     ,NYSE     ,--      ,19.00            , 
PRKR  ,-14.95  ,PARKERVISION INC         ,2.39      ,1889143   ,-13.09     ,NCM      ,--      ,4.00             , 
IGT   ,-14.80  ,INTL GAME TECHNOLOGY PLC ,23.57     ,3807974   ,-14.28     ,NYSE     ,0.80    ,78.00            , 
HZN   ,-14.69  ,HORIZON GLOBAL CORP      ,14.52     ,2070556   ,+2.91      ,NYSE     ,--      ,4.00             , 
TELL  ,-12.04  ,TELLURIAN INC            ,9.975     ,2243347   ,-10.94     ,NASDAQ   ,--      ,--               , 
MOMO  ,-11.61  ,MOMO INC  -ADR           ,30.22     ,18264968  ,-8.23      ,NASDAQ   ,--      ,95.00            , 
CVEO  ,-11.38  ,CIVEO CORP               ,2.96      ,2080650   ,-10.03     ,NYSE     ,--      ,--               , 
SND   ,-11.21  ,SMART SAND INC           ,13.33     ,1279681   ,-11.68     ,NASDAQ   ,--      ,94.00            , 
EMES  ,-10.38  ,EMERGE ENERGY SERVICES LP,13.73     ,1128663   ,-8.95      ,NYSE     ,--      ,97.00            , 
PLPM  ,-9.48   ,PLANET PAYMENT INC       ,3.82      ,1066082   ,-9.48      ,NASDAQ   ,--      ,66.00            , 
SFS   ,-9.27   ,SMART & FINAL STORES INC ,11.25     ,1643188   ,-0.88      ,NYSE     ,--      ,23.00            , 
SSYS  ,-8.38   ,STRATASYS LTD            ,18.37     ,2116097   ,-0.70      ,NGM/NGS  ,--      ,65.00            , 
PIR   ,-8.19   ,PIER 1 IMPORTS INC/DE    ,6.555     ,2158054   ,-7.42      ,NYSE     ,0.28    ,89.00            , 
ERII  ,-8.02   ,ENERGY RECOVERY INC      ,7.91      ,1168417   ,-12.11     ,NASDAQ   ,--      ,6.00             , 
CSTM  ,-8.00   ,CONSTELLIUM NV           ,6.90      ,3118625   ,+5.34      ,NYSE     ,--      ,94.00            , 
MTW   ,-7.61   ,MANITOWOC CO             ,5.71      ,1902460   ,-7.31      ,NYSE     ,--      ,54.00            , 
BIOC  ,-7.49   ,BIOCEPT INC              ,2.10      ,1243844   ,-7.49      ,NASDAQ   ,--      ,--               , 
QUIK  ,-6.45   ,QUICKLOGIC CORP          ,2.03      ,1423696   ,-3.33      ,NCM      ,--      ,--               , 
ASNA  ,-6.26   ,ASCENA RETAIL GROUP INC  ,4.265     ,4739775   ,-6.26      ,NGM/NGS  ,--      ,1.00             , 
SCMP  ,-6.22   ,SUCAMPO PHARMACEUTICALS I,11.30     ,1145736   ,-3.42      ,NASDAQ   ,--      ,3.00             , 
CIG   ,-5.82   ,CIA ENERGETICA DE MINAS  ,3.315     ,4930201   ,-4.19      ,NYSE     ,0.19    ,99.00            , 
ESPR  ,-5.76   ,ESPERION THERAPEUTICS INC,32.06     ,1933414   ,-5.82      ,NASDAQ   ,--      ,100.00           , 
SBS   ,-5.71   ,CIA SANEAMENTO BASICO EST,9.75      ,1533594   ,-2.50      ,NYSE     ,0.07    ,96.00            , 
CENX  ,-5.61   ,CENTURY ALUMINUM CO      ,12.38     ,2681428   ,-4.73      ,NGM/NGS  ,--      ,99.00            , 
CWH   ,-5.58   ,CAMPING WORLD HOLDINGS IN,33.51     ,1127276   ,-0.45      ,NYSE     ,0.32    ,96.00            , 
DGAZ  ,-5.45   ,                         ,5.0299    ,25410657  ,-2.33      ,NYSE     ,--      ,--               , 
FRAC  ,-5.33   ,KEANE GROUP INC          ,15.09     ,2905093   ,-4.31      ,NYSE     ,--      ,--               , 
TEX   ,-5.07   ,TEREX CORP               ,29.56     ,2089524   ,-4.95      ,NYSE     ,0.32    ,66.00            , 
ZTO   ,-5.00   ,ZTO EXPRESS (CAYM) INC -A,11.58     ,3340974   ,-5.31      ,NYSE     ,--      ,13.00            , 
AMX   ,-5.00   ,AMERICA MOVIL SA DE CV   ,12.73     ,11545933  ,-3.19      ,NYSE     ,0.29    ,80.00            , 
SPWR  ,-4.96   ,SUNPOWER CORP            ,7.185     ,2349622   ,-4.20      ,NCM      ,--      ,92.00            , 
TTI   ,-4.95   ,TETRA TECHNOLOGIES INC/DE,3.84      ,1512868   ,-5.42      ,NYSE     ,--      ,2.00             , 
USLV  ,-4.94   ,                         ,13.27     ,1771918   ,-4.67      ,NASDAQ   ,--      ,--               , 
NCV   ,-4.94   ,ALLIANZGI CONV & INCOME F,6.54      ,1052218   ,-3.82      ,NYSE     ,0.78    ,57.00            , 
ERF   ,-4.93   ,ENERPLUS CORP            ,8.0046    ,1611491   ,-4.37      ,NYSE     ,0.09    ,19.00            , 
SPLS  ,-4.91   ,STAPLES INC              ,8.52      ,12371041  ,+1.67      ,NGM/NGS  ,0.48    ,12.00            , 
GES   ,-4.80   ,GUESS INC                ,11.89     ,2248279   ,-1.98      ,NYSE     ,0.90    ,17.00            , 
EXP   ,-4.74   ,EAGLE MATERIALS INC      ,96.38     ,1618535   ,-4.57      ,NYSE     ,0.40    ,54.00            , 
SGYP  ,-4.67   ,SYNERGY PHARMACEUTICALS I,5.3001    ,4506289   ,-4.50      ,NASDAQ   ,--      ,61.00            , 
HMY   ,-4.57   ,HARMONY GOLD MINING CO LT,2.09      ,5005114   ,-5.00      ,NYSE     ,0.07    ,43.00            , 
SLCA  ,-4.42   ,U S SILICA HOLDINGS INC  ,45.79     ,6966690   ,-2.72      ,NYSE     ,0.25    ,31.00            , 
UWT   ,-4.21   ,                         ,19.34     ,8855469   ,-1.33      ,NYSE AMEX,--      ,--               , 
IONS  ,-4.12   ,IONIS PHARMACEUTICALS INC,45.19     ,1378978   ,-3.85      ,NASDAQ   ,--      ,94.00            , 
EXAS  ,-4.04   ,EXACT SCIENCES CORP      ,21.05     ,2165399   ,-4.48      ,NCM      ,--      ,99.00            , 
PLNT  ,-3.95   ,PLANET FITNESS INC       ,20.18     ,5370863   ,-0.25      ,NYSE     ,--      ,64.00            , 
RIG   ,-3.91   ,TRANSOCEAN LTD           ,11.92     ,15710121  ,-2.01      ,NYSE     ,--      ,31.00            , 
CLNS  ,-3.79   ,COLONY NORTHSTAR INC     ,12.96     ,3820816   ,-3.79      ,NYSE     ,0.96    ,23.00            , 
