Symbol,Description              ,Last Trade,Volume    ,% Chg(Open),Exchange,Dividend,Relative Strength, 
IGT   ,INTL GAME TECHNOLOGY PLC ,23.57     ,3808774   ,-14.26     ,NYSE    ,0.80    ,78.00            , 
HCLP  ,HI-CRUSH PARTNERS LP     ,14.63     ,4996944   ,-13.92     ,NYSE    ,--      ,19.00            , 
VNET  ,21VIANET GROUP INC       ,5.695     ,4296805   ,-13.71     ,NASDAQ  ,--      ,12.00            , 
TELL  ,TELLURIAN INC            ,9.99      ,2262547   ,-10.80     ,NASDAQ  ,--      ,--               , 
CVEO  ,CIVEO CORP               ,2.9418    ,2085305   ,-10.58     ,NYSE    ,--      ,--               , 
SMTC  ,SEMTECH CORP             ,33.95     ,2584689   ,-8.37      ,NCM     ,--      ,74.00            , 
MOMO  ,MOMO INC  -ADR           ,30.19     ,18276735  ,-8.32      ,NASDAQ  ,--      ,95.00            , 
ELF   ,E.L.F. BEAUTY INC        ,28.50     ,3864675   ,-8.15      ,NYSE    ,--      ,11.00            , 
RNVA  ,RENNOVA HEALTH INC       ,2.3599    ,2390739   ,-7.45      ,NASDAQ  ,--      ,24.00            , 
PIR   ,PIER 1 IMPORTS INC/DE    ,6.555     ,2158754   ,-7.42      ,NYSE    ,0.28    ,89.00            , 
ASNA  ,ASCENA RETAIL GROUP INC  ,4.265     ,4751709   ,-6.26      ,NGM/NGS ,--      ,1.00             , 
ZTO   ,ZTO EXPRESS (CAYM) INC -A,11.59     ,3342273   ,-5.23      ,NYSE    ,--      ,13.00            , 
TEX   ,TEREX CORP               ,29.53     ,2102823   ,-5.05      ,NYSE    ,0.32    ,66.00            , 
CENX  ,CENTURY ALUMINUM CO      ,12.35     ,2690468   ,-4.93      ,NGM/NGS ,--      ,99.00            , 
HMY   ,HARMONY GOLD MINING CO LT,2.095     ,5010614   ,-4.77      ,NYSE    ,0.07    ,43.00            , 
GGB   ,GERDAU SA                ,3.66      ,9802090   ,-4.69      ,NYSE    ,0.02    ,80.00            , 
EXAS  ,EXACT SCIENCES CORP      ,21.04     ,2166699   ,-4.54      ,NCM     ,--      ,99.00            , 
IPXL  ,IMPAX LABORATORIES INC   ,9.125     ,2155527   ,-4.45      ,NASDAQ  ,--      ,1.00             , 
SGYP  ,SYNERGY PHARMACEUTICALS I,5.31      ,4506709   ,-4.32      ,NASDAQ  ,--      ,61.00            , 
FRAC  ,KEANE GROUP INC          ,15.10     ,2911243   ,-4.28      ,NYSE    ,--      ,--               , 
CIG   ,CIA ENERGETICA DE MINAS  ,3.315     ,4933401   ,-4.19      ,NYSE    ,0.19    ,99.00            , 
TLRD  ,TAILORED BRANDS INC      ,15.85     ,14493645  ,-4.14      ,NYSE    ,0.72    ,91.00            , 
SPWR  ,SUNPOWER CORP            ,7.19      ,2350262   ,-4.13      ,NCM     ,--      ,92.00            , 
FMSA  ,FAIRMOUNT SANTROL HOLDING,7.225     ,20811147  ,-3.92      ,NYSE    ,--      ,71.00            , 
CLNS  ,COLONY NORTHSTAR INC     ,12.96     ,3821916   ,-3.82      ,NYSE    ,0.96    ,23.00            , 
JNUG  ,DIREXION DLY JR GOLD MNRS,5.4062    ,50843092  ,-3.63      ,NYSE    ,--      ,11.00            , 
DDR   ,DDR CORP                 ,13.08     ,5687895   ,-3.43      ,NYSE    ,0.76    ,13.00            , 
GNC   ,GNC HOLDINGS INC         ,7.43      ,2808174   ,-3.38      ,NYSE    ,--      ,1.00             , 
MUX   ,MCEWEN MINING INC        ,2.86      ,3271991   ,-3.38      ,NYSE    ,0.01    ,57.00            , 
AMX   ,AMERICA MOVIL SA DE CV   ,12.72     ,11547633  ,-3.27      ,NYSE    ,0.29    ,80.00            , 
EXG   ,EATON VANCE TAX-MNGD GLBL,8.31      ,2149509   ,-3.26      ,NYSE    ,0.91    ,62.00            , 
VRX   ,VALEANT PHARMACEUTICALS I,11.58     ,14326850  ,-3.18      ,NYSE    ,--      ,6.00             , 
SVU   ,SUPERVALU INC            ,3.37      ,4305870   ,-3.16      ,NYSE    ,--      ,3.00             , 
RAD   ,RITE AID CORP            ,4.64      ,22192308  ,-3.13      ,NYSE    ,--      ,1.00             , 
HRB   ,BLOCK H & R INC          ,23.40     ,4466330   ,-3.09      ,NYSE    ,0.88    ,16.00            , 
HIMX  ,HIMAX TECHNOLOGIES INC   ,7.61      ,4558406   ,-3.06      ,NGM/NGS ,0.13    ,29.00            , 
VIPS  ,VIPSHOP HOLDINGS LTD  -AD,12.81     ,3827918   ,-2.85      ,NYSE    ,--      ,79.00            , 
CRZO  ,CARRIZO OIL & GAS INC    ,27.38     ,3039703   ,-2.80      ,NGM/NGS ,--      ,3.00             , 
PSEC  ,PROSPECT CAPITAL CORP    ,8.8459    ,7870816   ,-2.79      ,NCM     ,1.00    ,89.00            , 
PPG   ,PPG INDUSTRIES INC       ,103.12    ,5083296   ,-2.72      ,NYSE    ,1.60    ,62.00            , 
SID   ,COMPANHIA SIDERURGICA NAC,3.25      ,2302570   ,-2.69      ,NYSE    ,--      ,71.00            , 
TSO   ,TESORO CORP              ,81.00     ,2298511   ,-2.69      ,NYSE    ,2.20    ,19.00            , 
ERJ   ,EMBRAER SA               ,23.99     ,2043854   ,-2.68      ,NYSE    ,--      ,89.00            , 
WPG   ,WASHINGTON PRIME GROUP IN,8.09      ,2016409   ,-2.65      ,NYSE    ,1.00    ,11.00            , 
SPG   ,SIMON PROPERTY GROUP INC ,170.06    ,2964150   ,-2.64      ,NYSE    ,7.00    ,25.00            , 
GGP   ,GGP INC                  ,23.02     ,6164156   ,-2.60      ,NYSE    ,0.88    ,15.00            , 
SLCA  ,U S SILICA HOLDINGS INC  ,45.85     ,6991959   ,-2.59      ,NYSE    ,0.25    ,31.00            , 
AAL   ,AMERICAN AIRLINES GROUP I,43.35     ,7852604   ,-2.58      ,NASDAQ  ,0.40    ,32.00            , 
DGAZ  ,                         ,5.02      ,25414035  ,-2.52      ,NYSE    ,--      ,--               , 
CBL   ,CBL & ASSOCIATES PPTYS IN,9.265     ,2622986   ,-2.47      ,NYSE    ,1.06    ,9.00             , 
