Symbol,% Chg(Open),Last Trade,Change,High  ,Low   ,Volume   ,Prev Close,Open  ,% Change,Market Cap,Sector                    ,Exchange,P/E (ttm),Price/Book Ratio, 
SMTC  ,-8.37      ,33.95     ,-0.34 ,37.35 ,33.30 ,2555095  ,34.29     ,37.05 ,-0.99   ,2.25B     ,Information Technology    ,NCM     ,46.88    ,20.29           , 
ELPVY ,-5.99      ,8.085     ,-0.915,8.60  ,8.085 ,1243     ,9.00      ,8.60  ,-10.17  ,2.70B     ,Utilities                 ,OTC     ,6.13     ,1.19            , 
LCII  ,-5.78      ,101.00    ,-6.65 ,107.55,100.85,172508   ,107.65    ,107.20,-6.18   ,2.66B     ,Consumer Discretionary    ,NYSE    ,20.70    ,7.66            , 
CMD   ,-5.39      ,79.47     ,-4.76 ,84.00 ,78.57 ,186544   ,84.23     ,84.00 ,-5.65   ,3.51B     ,Health Care               ,NYSE    ,54.46    ,55.92           , 
KROTY ,-5.39      ,4.04      ,-0.18 ,4.27  ,4.04  ,41736    ,4.22      ,4.27  ,-4.27   ,6.91B     ,Consumer Discretionary    ,OTC     ,19.39    ,42.22           , 
ZTO   ,-5.23      ,11.59     ,-0.60 ,12.23 ,11.54 ,3322179  ,12.19     ,12.23 ,-4.92   ,6.40B     ,Industrials               ,NYSE    ,27.80    ,4.28            , 
EXP   ,-4.74      ,96.21     ,-4.97 ,101.90,94.13 ,1607921  ,101.18    ,101.00,-4.91   ,4.90B     ,Materials                 ,NYSE    ,24.47    ,5.62            , 
ERF   ,-4.66      ,7.98      ,-0.44 ,8.4155,7.78  ,1586442  ,8.42      ,8.37  ,-5.23   ,2.04B     ,Energy                    ,NYSE    ,6.49     ,3.36            , 
CSUAY ,-4.60      ,8.08      ,-0.28 ,8.47  ,8.08  ,11531    ,8.36      ,8.47  ,-3.35   ,47.36B    ,Energy                    ,OTC     ,16.06    ,0.94            , 
ELP   ,-4.55      ,10.28     ,-0.57 ,10.78 ,10.27 ,351999   ,10.85     ,10.77 ,-5.25   ,2.70B     ,Utilities                 ,NYSE    ,7.52     ,1.46            , 
WCC   ,-4.39      ,67.45     ,-3.14 ,70.90 ,67.35 ,379077   ,70.59     ,70.55 ,-4.45   ,3.44B     ,Industrials               ,NYSE    ,33.62    ,--              , 
CIG   ,-4.19      ,3.315     ,-0.205,3.48  ,3.31  ,4929080  ,3.52      ,3.46  ,-5.82   ,4.79B     ,Utilities                 ,NYSE    ,17.02    ,291.35          , 
CLNS  ,-4.16      ,12.91     ,-0.56 ,13.51 ,12.83 ,3766617  ,13.47     ,13.47 ,-4.16   ,7.58B     ,Real Estate               ,NYSE    ,23.31    ,0.83            , 
YZCAY ,-3.71      ,7.52      ,-0.32 ,7.81  ,7.52  ,8907     ,7.84      ,7.81  ,-4.08   ,6.06B     ,Energy                    ,OTC     ,34.14    ,1.24            , 
AMOV  ,-3.67      ,12.61     ,-0.74 ,13.09 ,12.43 ,6587     ,13.35     ,13.09 ,-5.54   ,30.52B    ,Telecommunication Services,NYSE    ,95.76    ,--              , 
AKZOY ,-3.57      ,25.27     ,-0.32 ,26.21 ,24.89 ,258194   ,25.59     ,26.21 ,-1.24   ,17.16B    ,Materials                 ,OTC     ,15.95    ,7.60            , 
MOH   ,-3.47      ,46.98     ,-1.50 ,48.89 ,46.71 ,916642   ,48.48     ,48.67 ,-3.09   ,2.75B     ,Health Care               ,NYSE    ,52.70    ,3.93            , 
HNI   ,-3.34      ,45.44     ,-1.43 ,47.01 ,45.41 ,98698    ,46.87     ,47.01 ,-3.05   ,2.06B     ,Industrials               ,NYSE    ,24.93    ,75.85           , 
SID   ,-3.29      ,3.23      ,-0.07 ,3.395 ,3.21  ,2291759  ,3.30      ,3.34  ,-2.12   ,4.72B     ,Materials                 ,NYSE    ,12.14    ,8.05            , 
LIMAF ,-3.27      ,44.06     ,-1.92 ,45.60 ,43.77 ,13189    ,45.98     ,45.55 ,-4.18   ,3.02B     ,Consumer Discretionary    ,OTC     ,8.02     ,1.88            , 
