Symbol,% Chg(Open),Last Trade,Change,High  ,Low   ,Volume    ,Prev Close,Open  ,% Change,Market Cap,Sector                    ,Exchange,P/E (ttm), 
SMTC  ,-8.37      ,33.95     ,-0.34 ,37.35 ,33.30 ,2559538   ,34.29     ,37.05 ,-0.99   ,2.25B     ,Information Technology    ,NCM     ,46.88    , 
ZTO   ,-5.21      ,11.59     ,-0.60 ,12.23 ,11.54 ,3324004   ,12.19     ,12.23 ,-4.89   ,6.40B     ,Industrials               ,NYSE    ,27.80    , 
EXP   ,-4.72      ,96.23     ,-4.95 ,101.90,94.13 ,1611959   ,101.18    ,101.00,-4.89   ,4.90B     ,Materials                 ,NYSE    ,24.47    , 
ERF   ,-4.54      ,7.99      ,-0.43 ,8.4155,7.78  ,1594458   ,8.42      ,8.37  ,-5.11   ,2.04B     ,Energy                    ,NYSE    ,6.49     , 
CIG   ,-4.19      ,3.315     ,-0.205,3.48  ,3.31  ,4929380   ,3.52      ,3.46  ,-5.82   ,4.79B     ,Utilities                 ,NYSE    ,17.02    , 
CLNS  ,-3.86      ,12.95     ,-0.52 ,13.51 ,12.83 ,3801480   ,13.47     ,13.47 ,-3.86   ,7.58B     ,Real Estate               ,NYSE    ,23.31    , 
SID   ,-3.29      ,3.23      ,-0.07 ,3.395 ,3.21  ,2291959   ,3.30      ,3.34  ,-2.12   ,4.72B     ,Materials                 ,NYSE    ,12.14    , 
AMX   ,-3.27      ,12.72     ,-0.68 ,13.19 ,12.55 ,11523231  ,13.40     ,13.15 ,-5.07   ,30.52B    ,Telecommunication Services,NYSE    ,96.11    , 
RAD   ,-3.13      ,4.64      ,-0.01 ,4.80  ,4.61  ,22167824  ,4.65      ,4.79  ,-0.22   ,4.90B     ,Consumer Staples          ,NYSE    ,58.51    , 
HRB   ,-2.92      ,23.43     ,-0.51 ,24.25 ,23.31 ,4409875   ,23.94     ,24.14 ,-2.11   ,4.96B     ,Consumer Discretionary    ,NYSE    ,15.37    , 
VIPS  ,-2.88      ,12.80     ,-0.39 ,13.23 ,12.79 ,3816303   ,13.19     ,13.18 ,-2.96   ,6.69B     ,Consumer Discretionary    ,NYSE    ,25.96    , 
FAST  ,-2.80      ,49.98     ,-1.46 ,51.84 ,49.96 ,1846398   ,51.44     ,51.42 ,-2.84   ,14.88B    ,Industrials               ,NGM/NGS ,29.76    , 
WNR   ,-2.78      ,34.94     ,-1.21 ,36.04 ,34.27 ,1750081   ,36.15     ,35.94 ,-3.35   ,3.93B     ,Energy                    ,NYSE    ,29.15    , 
RPAI  ,-2.73      ,14.09     ,-0.40 ,14.56 ,14.00 ,1978346   ,14.48     ,14.48 ,-2.73   ,3.43B     ,Real Estate               ,NYSE    ,21.94    , 
TSO   ,-2.69      ,81.00     ,-2.76 ,83.23 ,80.39 ,2286447   ,83.76     ,83.23 ,-3.30   ,9.80B     ,Energy                    ,NYSE    ,13.68    , 
PPG   ,-2.68      ,103.16    ,-3.68 ,107.32,101.42,5070360   ,106.83    ,106.00,-3.44   ,27.47B    ,Materials                 ,NYSE    ,32.56    , 
AAL   ,-2.65      ,43.32     ,-1.57 ,44.93 ,43.25 ,7821916   ,44.89     ,44.50 ,-3.50   ,22.63B    ,Industrials               ,NASDAQ  ,9.33     , 
UNFI  ,-2.63      ,43.33     ,-0.27 ,45.66 ,41.95 ,2103018   ,43.60     ,44.50 ,-0.62   ,2.21B     ,Consumer Staples          ,NGM/NGS ,17.59    , 
SPG   ,-2.61      ,170.10    ,-4.59 ,174.77,169.50,2923407   ,174.69    ,174.66,-2.63   ,55.87B    ,Real Estate               ,NYSE    ,29.76    , 
SBS   ,-2.60      ,9.74      ,-0.60 ,10.175,9.73  ,1512632   ,10.34     ,10.00 ,-5.80   ,7.19B     ,Utilities                 ,NYSE    ,10.44    , 
