Symbol,% Chg(Open),Last Trade,Volume   ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD  ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                      ,Exchange,Description              ,Sub-Industry                         ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap  ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow, 
SNCR  ,-7.23      ,13.21     ,1870757  ,34.72    ,723.87M   ,102            ,-1.98                     ,27.73     ,16.41     ,-2.50 ,-93.69      ,3.31                   ,15.98             ,50.85                  ,17.68                  ,Software                                      ,NCM     ,SYNCHRONOSS TECHNOLOGIES ,Application Software                 ,--      ,15.61         ,13.19 ,100     ,1711965      ,1159907     ,109.28                  ,161.29                 ,No        ,14.24 ,14.38 ,13.21 ,79.43                 ,3899760       ,1404251    ,47.97                    ,133.22                ,No                ,Information Technology,--            ,14.46     ,13.17 ,200     ,3591179     ,124.59                    ,52.09                  ,25.62M         ,Yes                 ,B  ,--       ,B                  ,14.29          ,14.29                 ,71.43           ,--                     ,--              ,7                 ,2.57              ,7.99M     ,476.75M,7.99M   ,46.37M            ,0.45    ,0.45      ,0.96      ,1.48        ,0.96      ,0.58      ,0.69      ,10.00                       ,4.11    ,270.11            ,-1.25 ,-2.65                  ,-18.22                     ,-18.53                 ,-49.01                  ,-59.61               ,-38.89               ,-57.15               ,+2.19     ,14.65        ,24.91    ,35.56                  ,11.15     ,11.15    ,96.69                   ,16.71                        ,-8.64   ,-0.22,-25.55                 ,-0.16                 ,-4.33                  ,-56.17                   ,-59.24               ,-40.39               ,-58.46               ,+1.26             ,7               ,16.21     ,40.28   ,14.11       ,11.15   ,-2.02                ,1.17           ,-1.03    ,-1.52,-0.29                   ,-3.22                    ,-23.02                   ,-13.90                ,-37.75               ,-40.92               ,-56.42               ,+0.73             ,24.91      ,49.94     ,13.85    ,11.15  ,1.21         ,--               ,-0.04         ,1.54              ,--                   ,34.72                    ,3.75            ,33.72        ,10.56                ,1.52     ,15.49     ,22.03     ,31.40      ,17.33     ,26.82      ,31.77                ,32.19     ,43.88                   ,6.31 ,25.78               ,-9.96                     ,-18.50         ,23.05     ,35.29      ,15.42     ,21.79     ,28.15      ,30.32     ,33.26                ,54.35         ,23.77,-2.41      ,-12.45         ,-18.69                    ,17.68     ,28.83      ,23.02     ,31.88                ,12.98                   ,28.97   ,9.58                   ,-11.24         ,-12.08                    ,7871.92   , 
CAR   ,-6.04      ,21.92     ,4053938  ,23.15    ,2.31B     ,131            ,-0.88                     ,15.30     ,26.53     ,-1.72 ,-99.34      ,4.43                   ,-23.54            ,34.68                  ,28.43                  ,Road & Rail                                   ,NASDAQ  ,AVIS BUDGET GROUP INC    ,Trucking                             ,--      ,27.37         ,21.91 ,400     ,4301287      ,2228324     ,94.25                   ,181.93                 ,No        ,23.33 ,23.43 ,21.94 ,78.76                 ,3280236       ,2336916    ,123.59                   ,173.47                ,Yes               ,Industrials           ,--            ,23.77     ,21.85 ,300     ,3174583     ,95.60                     ,127.70                 ,106.65M        ,No                  ,D  ,--       ,B-                 ,60.00          ,--                    ,30.00           ,--                     ,10.00           ,10                ,2.00              ,163.00M   ,8.66B  ,163.00M ,84.24M            ,1.18    ,1.75      ,2.98      ,3.03        ,2.22      ,0.15      ,2.42      ,15.00                       ,1.88    ,338.24            ,-1.85 ,-8.61                  ,-16.38                     ,-10.58                 ,-27.18                  ,-44.85               ,+86.29               ,-16.96               ,+2.04     ,24.11        ,32.52    ,18.10                  ,22.94     ,22.94    ,95.57                   ,26.69                        ,-7.78   ,-0.44,-15.40                 ,-0.17                 ,-5.01                  ,-30.81                   ,-25.38               ,-45.38               ,-18.05               ,+41.80            ,1               ,27.84     ,41.00   ,22.94       ,22.94   ,1.09                 ,1.51           ,-1.41    ,-1.85,-0.21                   ,-4.66                    ,-17.41                   ,-8.87                 ,+16.61               ,-0.20                ,-5.75                ,+0.56             ,32.52      ,41.53     ,22.94    ,22.94  ,1.58         ,5.00             ,-0.07         ,1.03              ,--                   ,15.64                    ,--              ,5486.88      ,9.04                 ,0.27     ,26.05     ,29.25     ,33.83      ,27.16     ,31.48      ,19.75                ,36.91     ,47.90                   ,0.66 ,34.42               ,-4.92                     ,-12.60         ,29.97     ,34.56      ,27.77     ,29.37     ,31.95      ,31.41     ,38.85                ,65.07         ,3.81 ,-0.96      ,-7.63          ,-9.99                     ,28.43     ,32.81      ,29.93     ,34.28                ,10.14                   ,4.51    ,22.43                  ,-7.41          ,-8.26                     ,-12381.58 , 
SIVB  ,-4.62      ,171.99    ,555376   ,25.44    ,9.75B     ,110            ,+1.84                     ,32.86     ,182.15    ,-0.66 ,-98.27      ,2.94                   ,14.22             ,16.09                  ,183.46                 ,Banks                                         ,NGM/NGS ,SVB FINANCIAL GROUP      ,Regional Banks                       ,--      ,185.97        ,171.76,100     ,452206       ,534128      ,122.81                  ,103.98                 ,No        ,180.31,180.74,172.21,96.82                 ,510387        ,526443     ,108.81                   ,105.50                ,Yes               ,Financials            ,--            ,184.67    ,171.72,200     ,503986      ,123.59                    ,110.20                 ,83.21M         ,No                  ,C  ,***      ,B+                 ,38.89          ,38.89                 ,16.67           ,--                     ,5.56            ,18                ,1.94              ,390.27M   ,1.65B  ,390.27M ,52.43M            ,7.31    ,7.31      ,6.62      ,8.66        ,5.31      ,4.67      ,3.91      ,10.75                       ,25.37   ,652.74            ,-12.68,-4.94                  ,+0.66                      ,+9.60                  ,+1.43                   ,+40.48               ,+193.04              ,+75.20               ,+1.51     ,185.97       ,194.87   ,18.10                  ,173.00    ,82.90    ,97.06                   ,5.92                         ,-6.87   ,-4.36,-2.68                  ,-0.08                 ,+1.43                  ,+5.49                    ,+8.33                ,+71.45               ,+2.15                ,+11.41            ,2               ,187.00    ,198.83  ,181.15      ,173.00  ,-88.82               ,8.75           ,-8.32    ,-2.36,+3.33                   ,+1.21                    ,+0.78                    ,+2.60                 ,+89.75               ,+157.11              ,+43.89               ,+0.87             ,194.87     ,198.83    ,177.14   ,165.05 ,9.02         ,54.00            ,-0.27         ,1.13              ,--                   ,25.44                    ,2.67            ,--           ,21.47                ,5.92     ,182.73    ,183.89    ,178.65     ,182.38    ,176.00     ,52.81                ,48.44     ,32.90                   ,1.73 ,192.71              ,7.85                      ,-15.14         ,185.23    ,153.59     ,182.18    ,182.29    ,172.61     ,44.29     ,53.40                ,28.62         ,38.00,-0.08      ,-2.74          ,0.09                      ,183.46    ,181.40     ,181.54    ,51.82                ,18.26                   ,45.43   ,174.21                 ,-6.96          ,-3.94                     ,1133.99   , 
URI   ,-4.60      ,104.88    ,1574255  ,16.56    ,9.44B     ,219            ,+0.28                     ,30.06     ,111.61    ,-2.26 ,-100.00     ,--                     ,3.52              ,29.88                  ,111.02                 ,Trading Companies & Distributors              ,NYSE    ,UNITED RENTALS INC       ,Trading Companies & Distributors     ,--      ,111.70        ,104.88,200     ,1432479      ,1845884     ,109.90                  ,85.28                  ,Yes       ,109.94,111.72,104.93,97.52                 ,2158363       ,1772160    ,72.94                    ,88.83                 ,No                ,Industrials           ,--            ,111.72    ,104.88,600     ,2082245     ,115.93                    ,75.60                  ,162.35M        ,No                  ,B  ,*****    ,B-                 ,25.00          ,10.00                 ,60.00           ,--                     ,5.00            ,20                ,2.50              ,566.00M   ,5.76B  ,566.00M ,84.51M            ,6.75    ,6.45      ,6.07      ,9.67        ,5.15      ,3.64      ,0.79      ,12.13                       ,9.82    ,460.96            ,-6.84 ,-4.93                  ,+0.63                      ,-1.94                  ,-6.62                   ,+8.39                ,+158.14              ,+37.64               ,+2.51     ,114.02       ,122.59   ,22.56                  ,105.73    ,60.20    ,100.00                  ,5.22                         ,-6.12   ,-1.78,-3.00                  ,-0.08                 ,-0.81                  ,-1.71                    ,+5.80                ,+15.36               ,-13.32               ,+35.83            ,7               ,115.17    ,134.28  ,110.62      ,105.73  ,-44.68               ,6.84           ,-5.06    ,-1.59,+0.31                   ,+0.70                    ,-0.72                    ,-7.92                 ,+78.51               ,+99.96               ,+44.94               ,+4.94             ,122.59     ,134.28    ,110.62   ,105.33 ,6.84         ,8.00             ,0.00          ,0.73              ,--                   ,17.32                    ,--              ,436.47       ,11.56                ,1.64     ,111.10    ,118.08    ,116.36     ,112.43    ,113.76     ,45.04                ,44.89     ,34.60                   ,--   ,116.22              ,-8.14                     ,-24.01         ,119.70    ,101.79     ,110.36    ,115.79    ,111.92     ,39.52     ,48.60                ,36.55         ,49.75,-2.46      ,-15.09         ,-14.31                    ,111.02    ,118.73     ,115.94    ,45.17                ,16.08                   ,67.92   ,105.82                 ,-14.53         ,-13.27                    ,785.37    , 
AAWW  ,-3.87      ,46.00     ,477593   ,32.90    ,1.32B     ,20             ,+1.04                     ,15.00     ,51.75     ,-1.85 ,-98.49      ,9.76                   ,-48.27            ,30.25                  ,54.22                  ,Air Freight & Logistics                       ,NGM/NGS ,ATLAS AIR WORLDWIDE HLDG ,Air Freight & Logistics              ,--      ,52.35         ,45.95 ,300     ,202034       ,196421      ,236.39                  ,243.15                 ,No        ,47.85 ,47.85 ,46.00 ,97.79                 ,234944        ,186084     ,203.28                   ,256.65                ,No                ,Industrials           ,--            ,49.65     ,45.80 ,500     ,220897      ,222.58                    ,216.21                 ,10.12M         ,Yes                 ,B  ,--       ,B-                 ,37.50          ,12.50                 ,50.00           ,--                     ,--              ,8                 ,2.13              ,41.52M    ,1.84B  ,41.52M  ,25.26M            ,1.59    ,1.66      ,0.29      ,4.61        ,4.25      ,3.66      ,4.89      ,12.50                       ,2.26    ,695.25            ,-3.65 ,-12.30                 ,-8.43                      ,-3.07                  ,-7.60                   ,-5.41                ,+0.54                ,+34.17               ,+1.27     ,49.97        ,60.10    ,12.25                  ,49.05     ,34.22    ,90.24                   ,15.02                        ,-7.35   ,-1.80,-6.20                  ,-0.10                 ,-5.08                  ,-5.83                    ,+0.38                ,+40.76               ,+9.95                ,+2.72             ,0               ,52.65     ,60.10   ,49.05       ,49.05   ,-11.58               ,1.85           ,-1.85    ,-3.63,+0.51                   ,-4.57                    ,-9.29                    ,-4.09                 ,+7.38                ,+25.48               ,+38.59               ,+0.95             ,60.10      ,60.10     ,49.05    ,49.05  ,2.05         ,35.00            ,-0.20         ,1.46              ,--                   ,31.62                    ,0.94            ,109.84       ,11.35                ,0.72     ,50.68     ,54.05     ,53.18      ,52.46     ,52.65      ,23.53                ,41.43     ,44.12                   ,1.51 ,62.19               ,-5.30                     ,-7.30          ,54.43     ,48.18      ,52.91     ,53.58     ,52.07      ,34.55     ,45.62                ,58.71         ,3.22 ,-0.93      ,-5.35          ,-4.05                     ,54.22     ,53.58      ,53.53     ,40.39                ,11.48                   ,2.92    ,46.25                  ,-9.85          ,-3.55                     ,-1938.41  , 
NTGR  ,-3.71      ,42.13     ,311211   ,20.47    ,1.47B     ,45             ,+0.53                     ,20.43     ,45.55     ,-1.79 ,-95.30      ,12.79                  ,-16.58            ,46.34                  ,46.96                  ,Communications Equipment                      ,NGM/NGS ,NETGEAR INC              ,Communications Equipment             ,--      ,45.40         ,42.10 ,1200    ,521367       ,367911      ,59.69                   ,84.59                  ,No        ,43.75 ,44.00 ,42.15 ,98.31                 ,620887        ,394964     ,50.12                    ,78.79                 ,No                ,Information Technology,--            ,44.30     ,41.85 ,300     ,603931      ,75.25                     ,51.53                  ,23.22M         ,Yes                 ,C  ,****     ,B                  ,50.00          ,--                    ,50.00           ,--                     ,--              ,4                 ,2.00              ,75.85M    ,1.33B  ,75.85M  ,32.45M            ,2.22    ,2.25      ,1.44      ,2.65        ,0.24      ,1.42      ,2.23      ,-0.30                       ,5.71    ,1405.61           ,-2.18 ,-5.08                  ,-5.66                      ,-8.48                  ,-15.50                  ,+50.97               ,+25.41               ,-8.32                ,+1.68     ,45.25        ,53.10    ,16.82                  ,43.75     ,41.29    ,87.21                   ,7.66                         ,-4.91   ,-0.55,-12.52                 ,-0.06                 ,-3.32                  ,-16.07                   ,-16.47               ,+41.28               ,-17.14               ,+9.82             ,3               ,45.85     ,58.50   ,44.15       ,43.75   ,-0.56                ,1.88           ,-1.62    ,-1.24,+0.24                   ,-2.66                    ,-6.97                    ,-8.12                 ,+11.18               ,+51.57               ,-6.63                ,+6.94             ,53.10      ,60.82     ,43.75    ,43.75  ,2.15         ,5.00             ,-0.28         ,0.91              ,--                   ,20.18                    ,2.23            ,--           ,17.15                ,1.11     ,44.74     ,49.35     ,52.88      ,46.21     ,50.80      ,28.86                ,37.44     ,40.62                   ,4.70 ,52.96               ,-5.70                     ,-14.78         ,50.27     ,53.62      ,45.35     ,48.85     ,51.09      ,32.84     ,39.91                ,67.75         ,9.10 ,-1.53      ,-9.63          ,-11.90                    ,46.96     ,52.44      ,49.43     ,36.47                ,7.81                    ,9.73    ,40.95                  ,-9.08          ,-9.40                     ,-1216.89  , 
ENR   ,-3.12      ,51.82     ,463092   ,18.00    ,3.34B     ,85             ,+0.13                     ,18.55     ,55.05     ,-1.10 ,-99.63      ,1.72                   ,-19.57            ,34.54                  ,56.52                  ,Household Products                            ,NYSE    ,ENERGIZER HOLDINGS INC   ,Household Products                   ,1.10    ,54.07         ,51.80 ,200     ,451639       ,597500      ,102.54                  ,77.50                  ,No        ,53.49 ,53.53 ,51.83 ,97.45                 ,483798        ,524391     ,95.72                    ,88.31                 ,Yes               ,Consumer Staples      ,2.00          ,53.75     ,51.79 ,300     ,481278      ,148.19                    ,96.22                  ,24.47M         ,No                  ,B  ,***      ,--                 ,--             ,--                    ,--              ,--                     ,--              ,0                 ,--                ,127.70M   ,1.63B  ,127.70M ,61.83M            ,3.00    ,2.04      ,-0.06     ,2.85        ,2.53      ,1.85      ,--        ,--                          ,7.81    ,340.46            ,-1.93 ,-7.72                  ,-4.90                      ,+2.56                  ,-0.73                   ,0.00                 ,0.00                 ,+16.86               ,0.00      ,54.16        ,60.07    ,6.54                   ,53.40     ,41.62    ,98.28                   ,7.31                         ,-3.59   ,-0.26,+5.71                  ,-0.04                 ,-3.34                  ,+5.00                    ,+21.83               ,0.00                 ,+17.96               ,+665.37           ,2               ,54.79     ,60.07   ,53.58       ,53.40   ,-10.17               ,1.71           ,-1.67    ,-0.48,+0.07                   ,-2.77                    ,-5.85                    ,-0.39                 ,+28.97               ,0.00                 ,+28.82               ,+11.37            ,60.07      ,60.07     ,53.40    ,45.94  ,1.74         ,63.00            ,-0.03         ,0.80              ,--                   ,26.50                    ,--              ,-3272.33     ,18.94                ,2.05     ,54.21     ,56.40     ,51.96      ,55.49     ,53.86      ,26.63                ,45.56     ,37.25                   ,0.38 ,61.54               ,-5.74                     ,-2.01          ,56.14     ,50.24      ,55.61     ,55.61     ,--         ,38.04     ,49.59                ,53.19         ,4.81 ,-0.55      ,-3.87          ,-0.17                     ,56.52     ,53.55      ,55.29     ,43.59                ,11.38                   ,8.90    ,51.50                  ,-6.84          ,-1.58                     ,-1513.70  , 
EVR   ,-2.84      ,68.35     ,268823   ,17.98    ,3.04B     ,37             ,+0.96                     ,23.27     ,72.94     ,-1.54 ,-99.34      ,2.17                   ,-9.52             ,26.78                  ,74.25                  ,Capital Markets                               ,NYSE    ,EVERCORE PARTNERS INC    ,Investment Banking & Brokerage       ,1.36    ,73.95         ,68.30 ,500     ,438892       ,457343      ,61.25                   ,58.78                  ,No        ,70.35 ,70.60 ,68.40 ,95.55                 ,524671        ,447257     ,51.24                    ,60.10                 ,No                ,Financials            ,1.80          ,71.80     ,68.30 ,500     ,506467      ,88.75                     ,53.08                  ,31.69M         ,Yes                 ,B  ,***      ,B                  ,22.22          ,22.22                 ,55.56           ,--                     ,--              ,9                 ,2.33              ,148.51M   ,1.46B  ,148.51M ,41.11M            ,4.11    ,2.43      ,0.98      ,5.13        ,2.08      ,1.38      ,0.89      ,19.28                       ,7.47    ,976.03            ,-3.45 ,-5.74                  ,-3.30                      ,-1.97                  ,-6.42                   ,+60.12               ,+222.04              ,+47.80               ,+1.72     ,72.80        ,79.30    ,12.70                  ,70.75     ,40.36    ,97.83                   ,7.10                         ,-4.81   ,-1.45,-1.60                  ,-0.07                 ,-2.91                  ,-2.67                    ,+8.10                ,+42.15               ,-4.38                ,+49.70            ,2               ,73.95     ,83.30   ,71.55       ,70.75   ,-27.94               ,2.25           ,-2.00    ,-2.02,+0.68                   ,-2.45                    ,-3.89                    ,-4.93                 ,+53.48               ,+109.51              ,+38.49               ,0.00              ,79.30      ,83.30     ,70.75    ,68.55  ,2.30         ,18.00            ,-0.05         ,0.80              ,--                   ,30.43                    ,8.61            ,23.57        ,14.41                ,2.09     ,72.65     ,76.38     ,75.02      ,73.51     ,73.71      ,34.64                ,43.72     ,35.56                   ,0.66 ,79.13               ,-3.70                     ,-11.99         ,77.06     ,66.41      ,73.20     ,75.10     ,72.66      ,37.34     ,47.44                ,47.12         ,12.84,-1.10      ,-8.65          ,-8.65                     ,74.25     ,76.21      ,75.10     ,42.67                ,12.78                   ,12.79   ,69.38                  ,-7.70          ,-8.79                     ,-616.31   , 
MDP   ,-2.63      ,51.90     ,452131   ,46.13    ,2.53B     ,37             ,-0.85                     ,15.50     ,56.61     ,-2.46 ,-99.54      ,3.23                   ,-45.97            ,36.62                  ,58.66                  ,Media                                         ,NYSE    ,MEREDITH CORP            ,Publishing                           ,2.08    ,56.00         ,51.90 ,400     ,510411       ,591930      ,88.58                   ,76.38                  ,No        ,53.30 ,53.40 ,51.95 ,91.88                 ,708543        ,688127     ,63.81                    ,65.70                 ,Yes               ,Consumer Discretionary,3.70          ,53.90     ,51.85 ,200     ,695884      ,63.57                     ,64.97                  ,28.06M         ,No                  ,C  ,***      ,B                  ,16.67          ,--                    ,83.33           ,--                     ,--              ,6                 ,2.67              ,33.94M    ,1.65B  ,33.94M  ,44.59M            ,1.21    ,0.75      ,3.02      ,3.89        ,2.50      ,2.74      ,2.31      ,5.00                        ,2.06    ,450.10            ,-2.00 ,-6.60                  ,-8.11                      ,-5.50                  ,-12.05                  ,+22.08               ,+155.58              ,+10.36               ,+1.10     ,55.50        ,66.15    ,12.85                  ,53.35     ,43.85    ,96.77                   ,9.14                         ,-3.71   ,-0.60,-7.55                  ,-0.07                 ,-5.71                  ,-9.26                    ,-4.55                ,+41.20               ,-3.70                ,+5.53             ,2               ,56.25     ,66.25   ,53.35       ,53.35   ,-8.00                ,1.50           ,-1.40    ,-1.11,-0.46                   ,-4.76                    ,-9.57                    ,-7.38                 ,+17.30               ,+69.35               ,+31.35               ,+2.02             ,66.15      ,66.25     ,53.35    ,53.35  ,1.55         ,17.00            ,-0.05         ,2.05              ,--                   ,74.67                    ,--              ,70.25        ,14.41                ,1.51     ,55.37     ,61.38     ,60.29      ,57.54     ,59.69      ,20.05                ,38.33     ,44.44                   ,0.46 ,67.08               ,-9.40                     ,-11.55         ,61.81     ,56.60      ,56.64     ,59.93     ,59.25      ,30.86     ,40.71                ,62.91         ,3.29 ,-1.94      ,-9.70          ,-9.45                     ,58.66     ,61.05      ,60.10     ,33.93                ,10.12                   ,3.68    ,50.23                  ,-12.15         ,-8.40                     ,-5227.10  , 
OSK   ,-2.54      ,62.46     ,331601   ,24.01    ,5.01B     ,72             ,+0.41                     ,21.30     ,66.66     ,-1.25 ,-99.07      ,4.19                   ,-22.76            ,24.49                  ,68.29                  ,Machinery                                     ,NYSE    ,OSHKOSH CORP             ,Construction Machinery & Heavy Trucks,0.84    ,67.02         ,62.43 ,100     ,558853       ,852815      ,59.34                   ,38.88                  ,No        ,64.09 ,64.29 ,62.46 ,98.63                 ,767845        ,773208     ,43.19                    ,42.89                 ,Yes               ,Industrials           ,1.30          ,65.30     ,62.38 ,100     ,768185      ,49.89                     ,43.17                  ,36.75M         ,No                  ,B  ,****     ,B                  ,36.84          ,10.53                 ,52.63           ,--                     ,--              ,19                ,2.16              ,216.40M   ,6.28B  ,216.40M ,74.8M             ,2.79    ,2.91      ,2.90      ,3.46        ,3.61      ,3.55      ,2.51      ,15.07                       ,3.45    ,455.01            ,-2.84 ,-7.31                  ,-4.37                      ,-2.81                  ,-4.92                   ,+32.28               ,+209.80              ,+27.20               ,+1.79     ,65.95        ,74.99    ,10.71                  ,64.39     ,44.01    ,95.81                   ,7.47                         ,-4.35   ,-1.21,-3.15                  ,-0.07                 ,-3.33                  ,-4.13                    ,+4.05                ,+28.10               ,-0.03                ,+10.71            ,4               ,67.43     ,74.99   ,64.39       ,64.39   ,-18.37               ,1.83           ,-1.63    ,-1.85,+0.27                   ,-2.99                    ,-4.85                    ,-3.38                 ,+49.39               ,+83.35               ,+30.51               ,+4.30             ,74.99      ,75.00     ,64.39    ,64.39  ,1.91         ,30.00            ,-0.08         ,1.06              ,--                   ,23.03                    ,11.82           ,41.80        ,19.35                ,0.80     ,66.15     ,68.49     ,68.57      ,67.14     ,67.15      ,31.29                ,44.25     ,40.56                   ,0.93 ,73.76               ,-3.71                     ,-6.37          ,68.57     ,63.45      ,67.13     ,68.04     ,66.42      ,38.90     ,47.47                ,52.70         ,7.80 ,-0.68      ,-5.66          ,-2.86                     ,68.29     ,68.45      ,68.03     ,43.68                ,12.56                   ,8.01    ,62.81                  ,-6.91          ,-5.24                     ,-2020.32  , 
