Symbol,% Chg(Open),Last Trade,Volume    ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD  ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                    ,Exchange,Description              ,Sub-Industry                         ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                    ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap  ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow, 
CAR   ,-6.13      ,21.90     ,4034935   ,23.15    ,2.31B     ,130            ,-0.87                     ,15.26     ,26.52     ,-1.72 ,-99.62      ,2.55                   ,-23.81            ,34.67                  ,28.42                  ,Road & Rail                                 ,NASDAQ  ,AVIS BUDGET GROUP INC    ,Trucking                             ,--      ,27.37         ,21.90 ,100     ,4301287      ,2228324     ,93.81                   ,181.07                 ,No        ,23.33 ,23.43 ,21.92 ,78.76                 ,3280236       ,2336916    ,123.01                   ,172.66                ,Yes               ,Industrials               ,--            ,23.77     ,21.86 ,200     ,3174583     ,95.15                     ,127.10                 ,106.65M        ,No                  ,D  ,--       ,B-                 ,60.00          ,--                    ,30.00           ,--                     ,10.00           ,10                ,2.00              ,163.00M   ,8.66B  ,163.00M ,84.24M            ,1.18    ,1.75      ,2.98      ,3.03        ,2.22      ,0.15      ,2.42      ,15.00                       ,1.88    ,338.24            ,-1.87 ,-8.63                  ,-16.37                     ,-10.58                 ,-27.18                  ,-44.85               ,+86.29               ,-16.96               ,+2.04     ,24.11        ,32.52    ,18.10                  ,22.94     ,22.94    ,97.45                   ,26.80                        ,-7.87   ,-0.44,-15.42                 ,-0.17                 ,-5.01                  ,-30.81                   ,-25.38               ,-45.38               ,-18.05               ,+41.80            ,1               ,27.84     ,41.00   ,22.94       ,22.94   ,1.08                 ,1.53           ,-1.43    ,-1.85,-0.21                   ,-4.65                    ,-17.41                   ,-8.87                 ,+16.61               ,-0.20                ,-5.75                ,+0.56             ,32.52      ,41.53     ,22.94    ,22.94  ,1.57         ,5.00             ,-0.04         ,1.03              ,--                   ,15.64                    ,--              ,5486.88      ,9.04                 ,0.27     ,26.05     ,29.25     ,33.83      ,27.16     ,31.48      ,19.75                ,36.89     ,47.87                   ,0.38 ,34.42               ,-4.92                     ,-12.62         ,29.97     ,34.56      ,27.77     ,29.37     ,31.95      ,31.39     ,38.85                ,65.04         ,3.72 ,-0.96      ,-7.65          ,-9.99                     ,28.42     ,32.81      ,29.93     ,34.28                ,10.14                   ,4.47    ,22.43                  ,-7.43          ,-8.26                     ,-12516.18 , 
GNTX  ,-4.17      ,18.75     ,1879443   ,16.30    ,5.81B     ,117            ,+1.14                     ,21.35     ,19.89     ,-0.29 ,-99.77      ,0.57                   ,-14.09            ,19.68                  ,20.13                  ,Auto Components                             ,NGM/NGS ,GENTEX CORP              ,Auto Parts & Equipment               ,0.36    ,20.21         ,18.74 ,1900    ,1691201      ,2008386     ,111.13                  ,93.58                  ,No        ,19.56 ,19.61 ,18.75 ,86.44                 ,1928026       ,1939025    ,97.48                    ,96.93                 ,Yes               ,Consumer Discretionary    ,1.80          ,19.82     ,18.74 ,1000    ,1899570     ,66.12                     ,98.94                  ,33.54M         ,No                  ,B  ,***      ,A+                 ,33.33          ,8.33                  ,41.67           ,8.33                   ,8.33            ,12                ,2.50              ,347.59M   ,1.68B  ,347.59M ,287.27M           ,1.24    ,1.19      ,1.08      ,1.30        ,0.98      ,0.77      ,0.59      ,11.48                       ,20.70   ,315.88            ,-1.08 ,-2.02                  ,-1.54                      ,-0.34                  ,-4.39                   ,+20.88               ,+97.01               ,+18.49               ,+1.00     ,19.94        ,21.25    ,2.51                   ,19.57     ,14.66    ,99.43                   ,6.74                         ,-5.42   ,-0.26,-1.06                  ,-0.07                 ,-0.39                  ,-1.69                    ,+3.55                ,+43.09               ,-0.71                ,+19.60            ,3               ,20.20     ,22.12   ,19.59       ,19.57   ,-4.08                ,0.87           ,-0.82    ,-1.31,+0.22                   ,-0.31                    ,-1.91                    ,-0.91                 ,+27.01               ,+81.51               ,+23.20               ,+16.00            ,21.25      ,22.12     ,19.57    ,19.57  ,0.87         ,29.00            ,-0.01         ,0.72              ,--                   ,16.98                    ,4.58            ,9.32         ,15.53                ,3.46     ,19.83     ,20.62     ,20.45      ,20.00     ,20.18      ,38.71                ,42.71     ,37.11                   ,0.23 ,21.06               ,-0.30                     ,-2.23          ,20.71     ,19.27      ,20.01     ,20.33     ,20.03      ,36.98     ,47.80                ,40.88         ,12.80,-0.21      ,-2.42          ,-0.80                     ,20.13     ,20.66      ,20.35     ,44.48                ,15.57                   ,16.12   ,19.19                  ,-1.61          ,-1.99                     ,-3416.00  , 
AAWW  ,-3.87      ,46.00     ,468239    ,32.90    ,1.32B     ,20             ,+1.04                     ,15.00     ,51.75     ,-1.85 ,-98.49      ,9.76                   ,-48.20            ,30.25                  ,54.22                  ,Air Freight & Logistics                     ,NGM/NGS ,ATLAS AIR WORLDWIDE HLDG ,Air Freight & Logistics              ,--      ,52.35         ,46.00 ,500     ,202034       ,196421      ,231.76                  ,238.39                 ,No        ,47.85 ,47.85 ,46.05 ,97.79                 ,234944        ,186084     ,199.30                   ,251.63                ,No                ,Industrials               ,--            ,49.65     ,45.80 ,400     ,220897      ,218.22                    ,211.97                 ,10.12M         ,Yes                 ,B  ,--       ,B-                 ,37.50          ,12.50                 ,50.00           ,--                     ,--              ,8                 ,2.13              ,41.52M    ,1.84B  ,41.52M  ,25.26M            ,1.59    ,1.66      ,0.29      ,4.61        ,4.25      ,3.66      ,4.89      ,12.50                       ,2.26    ,695.25            ,-3.65 ,-12.30                 ,-8.43                      ,-3.07                  ,-7.60                   ,-5.41                ,+0.54                ,+34.17               ,+1.27     ,49.97        ,60.10    ,12.25                  ,49.05     ,34.22    ,90.24                   ,15.02                        ,-7.35   ,-1.80,-6.20                  ,-0.10                 ,-5.08                  ,-5.83                    ,+0.38                ,+40.76               ,+9.95                ,+2.72             ,0               ,52.65     ,60.10   ,49.05       ,49.05   ,-11.58               ,1.85           ,-1.85    ,-3.63,+0.51                   ,-4.57                    ,-9.29                    ,-4.09                 ,+7.38                ,+25.48               ,+38.59               ,+0.95             ,60.10      ,60.10     ,49.05    ,49.05  ,2.05         ,35.00            ,-0.20         ,1.46              ,--                   ,31.62                    ,0.94            ,109.84       ,11.35                ,0.72     ,50.68     ,54.05     ,53.18      ,52.46     ,52.65      ,23.53                ,41.43     ,44.12                   ,1.51 ,62.19               ,-5.30                     ,-7.30          ,54.43     ,48.18      ,52.91     ,53.58     ,52.07      ,34.55     ,45.62                ,58.71         ,3.22 ,-0.93      ,-5.35          ,-4.05                     ,54.22     ,53.58      ,53.53     ,40.39                ,11.48                   ,2.92    ,46.25                  ,-9.85          ,-3.55                     ,-1930.72  , 
NTGR  ,-3.66      ,42.15     ,308407    ,20.47    ,1.47B     ,45             ,+0.52                     ,20.50     ,45.56     ,-1.79 ,-94.87      ,13.95                  ,-16.46            ,46.34                  ,46.96                  ,Communications Equipment                    ,NGM/NGS ,NETGEAR INC              ,Communications Equipment             ,--      ,45.40         ,42.10 ,900     ,521367       ,367911      ,59.15                   ,83.83                  ,No        ,43.75 ,44.00 ,42.15 ,98.31                 ,620887        ,394964     ,49.67                    ,78.08                 ,No                ,Information Technology    ,--            ,44.30     ,41.85 ,400     ,603931      ,74.58                     ,51.07                  ,23.22M         ,Yes                 ,C  ,****     ,B                  ,50.00          ,--                    ,50.00           ,--                     ,--              ,4                 ,2.00              ,75.85M    ,1.33B  ,75.85M  ,32.45M            ,2.22    ,2.25      ,1.44      ,2.65        ,0.24      ,1.42      ,2.23      ,-0.30                       ,5.71    ,1405.61           ,-2.15 ,-5.05                  ,-5.66                      ,-8.48                  ,-15.50                  ,+50.97               ,+25.41               ,-8.32                ,+1.68     ,45.25        ,53.10    ,16.82                  ,43.75     ,41.29    ,86.05                   ,7.60                         ,-4.85   ,-0.55,-12.50                 ,-0.06                 ,-3.32                  ,-16.07                   ,-16.47               ,+41.28               ,-17.14               ,+9.82             ,3               ,45.85     ,58.50   ,44.15       ,43.75   ,-0.56                ,1.85           ,-1.60    ,-1.24,+0.23                   ,-2.66                    ,-6.97                    ,-8.12                 ,+11.18               ,+51.57               ,-6.63                ,+6.94             ,53.10      ,60.82     ,43.75    ,43.75  ,2.15         ,5.00             ,-0.30         ,0.91              ,--                   ,20.18                    ,2.23            ,--           ,17.15                ,1.11     ,44.74     ,49.35     ,52.88      ,46.21     ,50.80      ,28.86                ,37.47     ,40.62                   ,5.13 ,52.96               ,-5.70                     ,-14.75         ,50.28     ,53.62      ,45.35     ,48.86     ,51.09      ,32.88     ,39.91                ,67.75         ,9.24 ,-1.53      ,-9.60          ,-11.90                    ,46.96     ,52.44      ,49.43     ,36.47                ,7.81                    ,9.78    ,40.96                  ,-9.05          ,-9.40                     ,-1207.63  , 
MSM   ,-3.50      ,82.41     ,610058    ,22.55    ,4.04B     ,155            ,-0.30                     ,20.45     ,88.45     ,-2.32 ,-99.16      ,2.35                   ,-14.93            ,36.30                  ,89.20                  ,Trading Companies & Distributors            ,NYSE    ,MSC INDUSTRIAL DIRECT  -C,Trading Companies & Distributors     ,1.80    ,89.57         ,82.38 ,200     ,498684       ,652865      ,122.33                  ,93.44                  ,No        ,85.40 ,85.73 ,82.44 ,72.81                 ,638828        ,614861     ,95.50                    ,99.22                 ,Yes               ,Industrials               ,2.00          ,86.51     ,82.33 ,400     ,677017      ,74.32                     ,90.11                  ,43.92M         ,No                  ,D  ,--       ,B+                 ,18.75          ,6.25                  ,68.75           ,6.25                   ,--              ,16                ,2.63              ,231.22M   ,2.86B  ,231.22M ,45.09M            ,3.97    ,3.77      ,3.74      ,4.03        ,3.76      ,3.75      ,4.09      ,11.85                       ,8.07    ,443.13            ,-4.10 ,-7.70                  ,-3.01                      ,-8.73                  ,-11.76                  ,+30.99               ,+40.70               ,+26.56               ,+0.47     ,88.85        ,92.86    ,19.97                  ,86.37     ,67.74    ,97.65                   ,7.66                         ,-4.74   ,-1.11,-10.35                 ,-0.09                 ,-2.83                  ,-9.17                    ,-2.09                ,+10.17               ,-11.91               ,+18.38            ,9               ,90.71     ,105.70  ,86.37       ,85.11   ,-14.59               ,3.32           ,-2.99    ,-1.28,-0.26                   ,-2.69                    ,-3.16                    ,-11.53                ,+21.64               ,+26.50               ,+24.88               ,+11.50            ,92.86      ,105.70    ,86.37    ,85.11  ,3.40         ,10.00            ,-0.08         ,1.00              ,--                   ,23.75                    ,13.74           ,30.93        ,22.22                ,1.41     ,88.19     ,94.90     ,96.59      ,89.29     ,93.41      ,30.30                ,38.75     ,43.45                   ,0.84 ,93.28               ,0.53                      ,-23.09         ,96.28     ,87.65      ,88.72     ,92.97     ,92.71      ,32.27     ,42.21                ,54.42         ,7.45 ,-2.13      ,-18.28         ,-18.06                    ,89.20     ,97.62      ,93.50     ,36.97                ,12.83                   ,9.80    ,85.12                  ,-6.04          ,-15.50                    ,-1016.07  , 
GVA   ,-3.24      ,45.35     ,357793    ,46.03    ,1.98B     ,70             ,-0.12                     ,18.24     ,49.79     ,-1.19 ,-98.99      ,6.02                   ,2.25              ,22.62                  ,51.31                  ,Construction & Engineering                  ,NYSE    ,GRANITE CONSTRUCTION INC ,Construction & Engineering           ,0.52    ,49.81         ,45.33 ,500     ,477034       ,448975      ,75.00                   ,79.69                  ,No        ,46.87 ,46.91 ,45.37 ,95.54                 ,448883        ,441095     ,79.71                    ,81.11                 ,Yes               ,Industrials               ,1.00          ,47.79     ,45.25 ,100     ,443518      ,80.83                     ,80.67                  ,23.16M         ,No                  ,F  ,--       ,B-                 ,80.00          ,10.00                 ,10.00           ,--                     ,--              ,10                ,1.30              ,66.20M    ,2.51B  ,66.20M  ,39.82M            ,1.08    ,1.42      ,1.52      ,1.83        ,0.64      ,-0.94     ,1.15      ,30.00                       ,2.27    ,1257.31           ,-2.44 ,-7.60                  ,-6.86                      ,-6.30                  ,-9.35                   ,+47.37               ,+114.96              ,+6.69                ,+1.41     ,48.51        ,55.11    ,15.27                  ,47.10     ,40.16    ,93.98                   ,11.98                        ,-5.11   ,-0.92,-10.40                 ,-0.08                 ,-3.92                  ,-11.65                   ,-9.19                ,+49.18               ,-5.84                ,+6.18             ,3               ,49.94     ,59.99   ,47.10       ,47.10   ,-5.09                ,1.56           ,-1.52    ,-1.93,-0.06                   ,-3.52                    ,-7.57                    ,-4.93                 ,+24.54               ,+95.65               ,+7.76                ,+3.17             ,55.11      ,62.18     ,47.10    ,45.18  ,1.66         ,21.00            ,-0.10         ,2.04              ,--                   ,35.08                    ,2.43            ,24.88        ,27.26                ,0.79     ,49.49     ,50.68     ,53.90      ,50.23     ,51.86      ,25.68                ,42.01     ,34.53                   ,1.01 ,56.20               ,-4.62                     ,-9.66          ,51.13     ,51.90      ,50.78     ,51.26     ,51.83      ,37.20     ,44.63                ,41.44         ,8.18 ,-0.44      ,-1.16          ,-5.62                     ,51.31     ,52.84      ,51.47     ,41.29                ,14.29                   ,12.54   ,46.42                  ,-6.40          ,-0.15                     ,164.03    , 
COLM  ,-3.24      ,52.00     ,359301    ,20.69    ,4.01B     ,90             ,-0.57                     ,20.58     ,56.11     ,-0.93 ,-97.16      ,9.00                   ,-0.46             ,30.70                  ,57.07                  ,Textiles Apparel & Luxury Goods             ,NGM/NGS ,COLUMBIA SPORTSWEAR CO   ,Apparel Accessories & Luxury Goods   ,0.72    ,57.51         ,51.95 ,100     ,198945       ,323661      ,180.60                  ,111.01                 ,No        ,53.74 ,53.82 ,52.00 ,38.99                 ,219296        ,354851     ,163.84                   ,101.25                ,No                ,Consumer Discretionary    ,1.30          ,54.52     ,51.82 ,100     ,212324      ,129.42                    ,169.22                 ,11.07M         ,No                  ,C  ,--       ,B+                 ,33.33          ,9.52                  ,52.38           ,--                     ,4.76            ,21                ,2.33              ,198.44M   ,2.38B  ,198.44M ,69.66M            ,2.78    ,2.72      ,2.45      ,2.80        ,1.94      ,1.36      ,1.46      ,10.47                       ,8.07    ,394.66            ,-2.52 ,-4.50                  ,-4.47                      ,-2.83                  ,-3.77                   ,+3.10                ,+161.47              ,-0.18                ,+0.76     ,55.33        ,60.00    ,9.73                   ,54.17     ,51.70    ,91.00                   ,8.44                         ,-4.62   ,-0.78,-6.74                  ,-0.10                 ,-2.99                  ,-4.94                    ,-1.03                ,+38.44               ,+4.48                ,+13.53            ,1               ,58.16     ,60.91   ,54.40       ,54.17   ,-0.12                ,1.82           ,-1.74    ,-1.43,-0.31                   ,-2.55                    ,-5.20                    ,-2.13                 ,-0.05                ,+99.28               ,+0.60                ,+11.13            ,60.00      ,63.55     ,54.40    ,51.76  ,2.00         ,80.00            ,-0.18         ,0.92              ,--                   ,21.14                    ,2.96            ,0.89         ,20.54                ,1.69     ,56.02     ,57.44     ,57.18      ,56.47     ,57.10      ,29.52                ,42.19     ,41.47                   ,2.84 ,60.76               ,-3.77                     ,-4.08          ,57.12     ,57.10      ,56.39     ,57.03     ,57.12      ,37.02     ,45.64                ,59.73         ,11.69,-0.43      ,-5.51          ,-2.29                     ,57.07     ,56.65      ,57.06     ,42.31                ,10.46                   ,19.92   ,53.38                  ,-6.79          ,-3.01                     ,-15.53    , 
ENR   ,-3.18      ,51.79     ,461279    ,18.00    ,3.34B     ,85             ,+0.14                     ,18.46     ,55.05     ,-1.10 ,-100.00     ,--                     ,-19.75            ,34.54                  ,56.52                  ,Household Products                          ,NYSE    ,ENERGIZER HOLDINGS INC   ,Household Products                   ,1.10    ,54.07         ,51.78 ,400     ,451639       ,597500      ,102.13                  ,77.20                  ,No        ,53.49 ,53.53 ,51.82 ,97.45                 ,483798        ,524391     ,95.35                    ,87.96                 ,Yes               ,Consumer Staples          ,2.00          ,53.75     ,51.79 ,200     ,481278      ,147.61                    ,95.84                  ,24.47M         ,No                  ,B  ,***      ,--                 ,--             ,--                    ,--              ,--                     ,--              ,0                 ,--                ,127.70M   ,1.63B  ,127.70M ,61.83M            ,3.00    ,2.04      ,-0.06     ,2.85        ,2.53      ,1.85      ,--        ,--                          ,7.81    ,340.46            ,-1.96 ,-7.75                  ,-4.90                      ,+2.56                  ,-0.73                   ,0.00                 ,0.00                 ,+16.86               ,0.00      ,54.16        ,60.07    ,6.54                   ,53.40     ,41.62    ,100.00                  ,7.37                         ,-3.65   ,-0.26,+5.68                  ,-0.04                 ,-3.34                  ,+5.00                    ,+21.83               ,0.00                 ,+17.96               ,+665.37           ,2               ,54.79     ,60.07   ,53.58       ,53.40   ,-10.17               ,1.74           ,-1.70    ,-0.48,+0.07                   ,-2.77                    ,-5.85                    ,-0.39                 ,+28.97               ,0.00                 ,+28.82               ,+11.37            ,60.07      ,60.07     ,53.40    ,45.94  ,1.74         ,63.00            ,0.00          ,0.80              ,--                   ,26.50                    ,--              ,-3272.33     ,18.94                ,2.05     ,54.21     ,56.40     ,51.96      ,55.49     ,53.86      ,26.63                ,45.51     ,37.25                   ,--   ,61.55               ,-5.74                     ,-2.04          ,56.14     ,50.24      ,55.61     ,55.61     ,--         ,37.96     ,49.59                ,53.19         ,4.69 ,-0.55      ,-3.90          ,-0.17                     ,56.52     ,53.55      ,55.29     ,43.59                ,11.38                   ,8.86    ,51.49                  ,-6.87          ,-1.58                     ,-1527.86  , 
SLM   ,-3.11      ,10.45     ,3292303   ,20.05    ,5.10B     ,36             ,-0.06                     ,20.38     ,11.61     ,-0.32 ,-98.84      ,5.83                   ,-25.35            ,27.84                  ,12.11                  ,Consumer Finance                            ,NASDAQ  ,SLM CORP                 ,Consumer Finance                     ,--      ,11.84         ,10.44 ,5400    ,3239341      ,3921315     ,101.63                  ,83.96                  ,No        ,10.78 ,10.93 ,10.45 ,99.23                 ,4532774       ,3597298    ,72.63                    ,91.52                 ,Yes               ,Financials                ,--            ,11.05     ,10.42 ,1300    ,4500330     ,115.45                    ,73.16                  ,36.62M         ,No                  ,C  ,--       ,--                 ,54.55          ,36.36                 ,9.09            ,--                     ,--              ,11                ,1.55              ,250.33M   ,1.14B  ,250.33M ,431.04M           ,0.59    ,0.53      ,0.59      ,0.72        ,0.42      ,0.58      ,0.45      ,15.00                       ,31.66   ,608.27            ,-0.60 ,-2.14                  ,-8.76                      ,-0.32                  ,-7.23                   ,+15.66               ,0.00                 ,+74.41               ,+1.34     ,11.29        ,13.20    ,2.27                   ,11.02     ,5.56     ,94.17                   ,13.93                        ,-5.48   ,-0.27,-0.66                  ,-0.10                 ,-1.07                  ,-2.77                    ,+7.44                ,+35.72               ,+5.56                ,+16.20            ,1               ,11.88     ,13.20   ,11.02       ,11.02   ,-4.86                ,0.49           ,-0.34    ,-2.44,-0.01                   ,-1.06                    ,-8.79                    ,-0.86                 ,+82.42               ,0.00                 ,+77.87               ,+1.62             ,13.20      ,13.20     ,11.02    ,10.71  ,0.52         ,32.00            ,-0.03         ,0.89              ,--                   ,22.34                    ,2.86            ,92.37        ,16.40                ,4.49     ,11.49     ,11.98     ,11.64      ,11.73     ,11.46      ,27.32                ,44.14     ,43.52                   ,1.16 ,13.57               ,-0.44                     ,-1.70          ,11.98     ,9.99       ,11.90     ,11.87     ,11.24      ,37.89     ,47.34                ,51.88         ,3.68 ,-0.11      ,-1.16          ,-1.18                     ,12.11     ,11.84      ,11.83     ,42.19                ,13.79                   ,4.84    ,10.65                  ,-1.09          ,-1.18                     ,-16028.08 , 
HUBG  ,-3.11      ,34.30     ,149835    ,18.37    ,1.23B     ,23             ,+0.77                     ,17.46     ,37.16     ,-2.07 ,-99.25      ,3.33                   ,-14.22            ,47.30                  ,38.03                  ,Air Freight & Logistics                     ,NGM/NGS ,HUB GROUP INC  -CL A     ,Air Freight & Logistics              ,--      ,36.80         ,34.30 ,700     ,369555       ,254111      ,40.54                   ,58.96                  ,No        ,35.40 ,35.75 ,34.35 ,94.16                 ,338821        ,273175     ,44.22                    ,54.85                 ,No                ,Industrials               ,--            ,35.90     ,34.25 ,200     ,333212      ,52.49                     ,44.97                  ,13.30M         ,Yes                 ,C  ,--       ,B                  ,20.00          ,--                    ,73.33           ,6.67                   ,--              ,15                ,2.67              ,74.80M    ,3.57B  ,74.80M  ,33.48M            ,2.00    ,2.20      ,1.97      ,1.69        ,1.40      ,1.87      ,1.83      ,15.00                       ,2.09    ,1296.84           ,-1.60 ,-4.99                  ,-5.60                      ,-8.36                  ,-20.02                  ,-7.58                ,+8.00                ,-4.37                ,+1.27     ,36.45        ,41.25    ,16.75                  ,35.45     ,34.35    ,96.67                   ,8.61                         ,-4.46   ,-0.50,-10.00                 ,-0.05                 ,-2.54                  ,-18.89                   ,-15.89               ,-15.53               ,-11.72               ,+10.65            ,1               ,36.85     ,52.50   ,35.85       ,35.45   ,0.10                 ,1.45           ,-1.10    ,-1.39,+0.27                   ,-2.13                    ,-6.61                    ,-8.99                 ,-2.51                ,+0.91                ,+7.41                ,+5.17             ,41.25      ,52.50     ,35.45    ,35.45  ,1.50         ,5.00             ,-0.05         ,0.81              ,--                   ,16.73                    ,3.53            ,20.07        ,21.82                ,0.34     ,36.33     ,42.54     ,44.58      ,37.92     ,42.76      ,23.93                ,35.32     ,38.02                   ,0.75 ,41.84               ,-3.75                     ,-16.30         ,43.87     ,42.86      ,37.25     ,41.16     ,42.88      ,28.80     ,37.35                ,55.36         ,8.14 ,-2.01      ,-11.40         ,-14.65                    ,38.03     ,44.72      ,41.74     ,31.61                ,10.92                   ,9.12    ,34.22                  ,-5.49          ,-10.45                    ,-685.92   , 
