Symbol,% Chg(Open),Last Trade,Volume    ,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,DM Average (ADX) 14 Day,Bollinger Band®(Middle),Industry                                      ,Exchange,Description              ,Sub-Industry                         ,Dividend,Reported Close,Bid     ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open    ,High    ,Ask     ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                    ,Dividend Yield,Prev Close,Low     ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap   ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD ,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow, 
MNK   ,-5.24      ,42.12     ,2004310   ,17.29    ,4.43B     ,184            ,-1.08                     ,32.46     ,45.28     ,-0.23,-99.85      ,0.35                   ,-10.15            ,16.86                  ,45.55                  ,Pharmaceuticals                               ,NYSE    ,MALLINCKRODT PLC         ,Pharmaceuticals                      ,--      ,44.55         ,42.11   ,100     ,2005846      ,2179148     ,99.92                   ,91.98                  ,Yes       ,44.45   ,44.94   ,42.14   ,86.26                 ,1630473       ,2030885    ,122.93                   ,98.69                 ,No                ,Health Care               ,--            ,44.83     ,42.11   ,300     ,1568769     ,83.00                     ,127.76                 ,92.02M         ,No                  ,D  ,****     ,--                 ,53.33          ,40.00                 ,6.67            ,--                     ,--              ,15                ,1.53              ,643.70M   ,3.38B  ,643.70M ,99.35M            ,2.58    ,5.78      ,2.75      ,7.61        ,-4.92     ,1.02      ,2.33      ,11.17                       ,19.04   ,751.29            ,-2.71 ,-4.88                  ,-1.59                      ,-5.31                  ,-6.52                   ,-61.23               ,0.00                 ,-30.32               ,+1.52     ,46.84        ,48.73    ,40.89                  ,43.40     ,41.57    ,99.65                   ,8.59                         ,-6.05   ,-0.38 ,-8.38                  ,-0.07                 ,-0.70                  ,-10.58                   ,-10.58               ,-36.10               ,-3.71                ,+5.49             ,23              ,47.82     ,55.32   ,44.75       ,43.40   ,-0.54                ,2.82           ,-2.33    ,-0.85,-0.49                   ,-0.72                    ,-1.54                    ,-3.13                 ,-23.33               ,0.00                 ,-20.82               ,+1.79             ,48.73      ,85.83     ,44.03    ,41.57   ,2.83         ,20.00            ,-0.01         ,0.77              ,--                   ,7.71                     ,--              ,109.83       ,5.86                 ,1.31     ,45.44     ,45.52     ,48.98      ,45.34     ,48.89      ,44.25                ,42.36     ,32.60                   ,0.15,48.01               ,0.98                      ,-11.99         ,46.69     ,57.47      ,45.74     ,46.24     ,50.02      ,40.84     ,45.08                ,17.82         ,28.18,-0.04      ,-1.93          ,-9.91                     ,45.55     ,48.08      ,46.71     ,45.67                ,22.74                   ,44.57   ,43.09                  ,-2.36          ,-1.61                     ,-2628.75  , 
SCHW  ,-5.19      ,37.73     ,8810468   ,28.72    ,54.15B    ,290            ,+2.41                     ,32.67     ,39.74     ,-0.05,-100.00     ,0.02                   ,27.30             ,16.54                  ,39.70                  ,Capital Markets                               ,NYSE    ,SCHWAB (CHARLES) CORP    ,Investment Banking & Brokerage       ,0.32    ,40.50         ,37.72   ,100     ,6333968      ,8695133     ,139.10                  ,101.33                 ,Yes       ,39.79   ,40.67   ,37.73   ,79.95                 ,7616258       ,7899668    ,115.68                   ,111.53                ,No                ,Financials                ,0.80          ,40.67     ,37.73   ,1600    ,7963208     ,154.62                    ,110.64                 ,254.57M        ,No                  ,NC ,*****    ,B                  ,42.11          ,31.58                 ,26.32           ,--                     ,--              ,19                ,1.84              ,1.89B     ,7.63B  ,1.89B   ,1.34B             ,1.41    ,1.31      ,1.03      ,1.60        ,0.95      ,0.78      ,0.69      ,19.96                       ,25.31   ,460.62            ,-2.94 ,-1.37                  ,+2.44                      ,+0.75                  ,-0.07                   ,+30.60               ,+213.14              ,+37.59               ,+1.66     ,40.74        ,40.82    ,2.98                   ,38.01     ,23.83    ,99.98                   ,5.70                         ,-7.24   ,-0.88 ,-2.31                  ,-0.06                 ,+1.10                  ,+1.89                    ,+2.82                ,+54.93               ,-5.60                ,+15.72            ,5               ,40.74     ,43.65   ,40.18       ,37.15   ,-13.90               ,2.94           ,-2.06    ,-2.16,+0.96                   ,+0.97                    ,+2.77                    ,-0.03                 ,+47.03               ,+138.38              ,+23.06               ,0.00              ,40.82      ,43.65     ,39.25    ,37.15   ,2.95         ,36.00            ,0.00          ,1.27              ,--                   ,30.92                    ,4.41            ,17.51        ,25.36                ,7.10     ,39.99     ,40.19     ,40.37      ,39.75     ,39.46      ,59.97                ,46.46     ,34.96                   ,--  ,41.26               ,2.77                      ,-4.06          ,40.45     ,36.91      ,39.88     ,39.95     ,39.06      ,42.80     ,52.58                ,23.00         ,59.64,0.01       ,-2.72          ,-0.88                     ,39.70     ,40.62      ,39.95     ,52.46                ,21.89                   ,65.14   ,38.14                  ,-0.56          ,-1.58                     ,26090.84  , 
GNTX  ,-4.58      ,18.67     ,1928843   ,16.30    ,5.81B     ,130            ,+1.19                     ,20.87     ,19.89     ,-0.30,-100.00     ,--                     ,-14.33            ,19.75                  ,20.13                  ,Auto Components                               ,NGM/NGS ,GENTEX CORP              ,Auto Parts & Equipment               ,0.36    ,20.21         ,18.66   ,2000    ,1691201      ,2008386     ,114.05                  ,96.04                  ,No        ,19.56   ,19.61   ,18.67   ,86.44                 ,1928026       ,1939025    ,100.04                   ,99.47                 ,Yes               ,Consumer Discretionary    ,1.80          ,19.82     ,18.67   ,300     ,1899570     ,67.86                     ,101.54                 ,33.54M         ,No                  ,B  ,***      ,A+                 ,33.33          ,8.33                  ,41.67           ,8.33                   ,8.33            ,12                ,2.50              ,347.59M   ,1.68B  ,347.59M ,287.27M           ,1.24    ,1.19      ,1.08      ,1.30        ,0.98      ,0.77      ,0.59      ,11.48                       ,20.70   ,315.88            ,-1.16 ,-2.10                  ,-1.52                      ,-0.34                  ,-4.39                   ,+20.88               ,+97.01               ,+18.49               ,+1.00     ,19.94        ,21.25    ,2.51                   ,19.57     ,14.66    ,100.00                  ,7.17                         ,-5.83   ,-0.26 ,-1.14                  ,-0.07                 ,-0.39                  ,-1.69                    ,+3.55                ,+43.09               ,-0.71                ,+19.60            ,3               ,20.20     ,22.12   ,19.59       ,19.57   ,-4.01                ,0.95           ,-0.90    ,-1.31,+0.23                   ,-0.31                    ,-1.91                    ,-0.91                 ,+27.01               ,+81.51               ,+23.20               ,+16.00            ,21.25      ,22.12     ,19.57    ,19.57   ,0.95         ,29.00            ,0.00          ,0.72              ,--                   ,16.98                    ,4.58            ,9.32         ,15.53                ,3.46     ,19.82     ,20.62     ,20.45      ,20.00     ,20.18      ,38.71                ,42.48     ,37.65                   ,--  ,21.08               ,-0.30                     ,-2.28          ,20.71     ,19.27      ,20.00     ,20.33     ,20.03      ,36.66     ,47.80                ,41.85         ,12.72,-0.21      ,-2.47          ,-0.80                     ,20.13     ,20.66      ,20.35     ,44.48                ,15.44                   ,16.09   ,19.18                  ,-1.66          ,-1.99                     ,-3480.27  , 
MU    ,-4.52      ,27.06     ,25575211  ,44.89    ,31.87B    ,199            ,+1.58                     ,37.56     ,28.24     ,0.34 ,-100.00     ,0.90                   ,20.34             ,17.40                  ,28.00                  ,Semiconductors & Semiconductor Equipment      ,NASDAQ  ,MICRON TECHNOLOGY INC    ,Semiconductors                       ,--      ,28.81         ,27.05   ,5200    ,20901090     ,26395038    ,122.36                  ,96.89                  ,Yes       ,28.34   ,29.02   ,27.06   ,81.58                 ,24048808      ,25660989   ,106.35                   ,99.67                 ,No                ,Information Technology    ,--            ,29.02     ,27.04   ,800     ,23158718    ,171.18                    ,110.43                 ,607.21M        ,No                  ,A  ,***      ,B-                 ,61.29          ,25.81                 ,12.90           ,--                     ,--              ,31                ,1.52              ,-275.00M  ,12.40B ,-275.00M,1.11B             ,0.64    ,-0.27     ,2.48      ,4.27        ,2.54      ,1.13      ,-1.04     ,103.59                      ,-2.23   ,394.87            ,-1.96 ,-0.79                  ,+3.64                      ,+5.16                  ,+13.42                  ,+0.57                ,+330.53              ,+101.38              ,+1.78     ,29.08        ,29.41    ,0.85                   ,26.36     ,9.50     ,99.10                   ,4.56                         ,-6.76   ,-0.68 ,+4.99                  ,-0.08                 ,+1.09                  ,+21.64                   ,+31.43               ,+5.46                ,+14.77               ,+5.19             ,11              ,29.41     ,29.87   ,28.57       ,26.36   ,-17.54               ,1.96           ,-1.28    ,-2.34,+0.45                   ,+1.02                    ,+3.89                    ,+3.43                 ,+180.32              ,+192.83              ,+61.25               ,+2.41             ,29.41      ,29.87     ,28.57    ,21.49   ,1.98         ,88.00            ,-0.02         ,1.99              ,--                   ,--                       ,2.61            ,70.81        ,6.75                 ,2.57     ,28.50     ,27.48     ,24.51      ,28.12     ,25.35      ,62.57                ,54.34     ,27.90                   ,--  ,29.58               ,1.88                      ,3.27           ,26.96     ,21.45      ,28.29     ,27.20     ,24.64      ,50.71     ,60.49                ,16.15         ,54.66,0.40       ,1.52           ,5.67                      ,28.00     ,25.43      ,26.83     ,60.29                ,20.14                   ,73.87   ,26.42                  ,-0.22          ,2.81                      ,64495.23  , 
THRM  ,-4.47      ,36.35     ,119695    ,15.41    ,1.39B     ,40             ,+1.52                     ,40.59     ,37.55     ,0.46 ,-100.00     ,--                     ,-9.92             ,23.95                  ,37.26                  ,Auto Components                               ,NASDAQ  ,GENTHERM INC             ,Auto Parts & Equipment               ,--      ,37.75         ,36.35   ,200     ,184757       ,255322      ,64.79                   ,46.88                  ,No        ,38.05   ,38.15   ,36.40   ,98.78                 ,237665        ,241961     ,50.36                    ,49.47                 ,No                ,Consumer Discretionary    ,--            ,38.70     ,36.35   ,100     ,232605      ,79.25                     ,51.46                  ,7.12M          ,Yes                 ,C  ,--       ,B                  ,30.00          ,30.00                 ,40.00           ,--                     ,--              ,10                ,2.10              ,76.60M    ,917.60M,76.60M  ,36.75M            ,2.45    ,2.09      ,2.62      ,2.63        ,1.95      ,0.94      ,0.39      ,25.00                       ,8.35    ,78.53             ,-2.35 ,-1.05                  ,+3.86                      ,+3.79                  ,+7.34                   ,-27.33               ,+158.48              ,+10.70               ,+1.95     ,39.10        ,39.24    ,1.40                   ,34.70     ,26.60    ,100.00                  ,3.81                         ,-6.07   ,-0.65 ,+2.00                  ,-0.05                 ,+1.70                  ,+10.85                   ,+11.52               ,-6.23                ,+4.94                ,+19.89            ,2               ,39.15     ,39.54   ,38.20       ,34.40   ,-9.75                ,1.80           ,-1.70    ,-1.68,+0.58                   ,+1.44                    ,+4.59                    ,+2.65                 ,+2.92                ,+137.14              ,+31.97               ,+11.12            ,39.24      ,39.55     ,37.70    ,32.40   ,1.80         ,61.00            ,0.00          ,0.68              ,--                   ,18.06                    ,3.93            ,36.80        ,14.36                ,1.51     ,37.88     ,36.76     ,35.48      ,37.38     ,35.90      ,65.01                ,50.81     ,22.53                   ,--  ,39.37               ,3.95                      ,-2.15          ,36.72     ,33.57      ,37.74     ,36.73     ,35.69      ,49.34     ,55.49                ,1.59          ,56.90,0.45       ,-0.90          ,3.00                      ,37.26     ,35.97      ,36.55     ,57.26                ,21.82                   ,72.27   ,35.15                  ,0.95           ,0.91                      ,-314.15   , 
NTRS  ,-4.33      ,85.46     ,1050846   ,20.70    ,20.84B    ,228            ,+1.53                     ,28.04     ,89.43     ,0.34 ,-99.84      ,0.19                   ,-7.86             ,21.24                  ,89.89                  ,Capital Markets                               ,NGM/NGS ,NORTHERN TRUST CORP      ,Asset Management & Custody Banks     ,1.52    ,90.79         ,85.44   ,200     ,749803       ,1236354     ,140.15                  ,85.00                  ,Yes       ,89.33   ,90.60   ,85.47   ,87.77                 ,1028759       ,1108193    ,102.15                   ,94.83                 ,No                ,Financials                ,1.70          ,90.60     ,85.45   ,100     ,1004083     ,115.71                    ,104.66                 ,67.68M         ,No                  ,B  ,***      ,B+                 ,12.50          ,12.50                 ,62.50           ,6.25                   ,6.25            ,16                ,2.81              ,1.03B     ,4.96B  ,1.03B   ,229.59M           ,4.39    ,4.32      ,3.99      ,4.84        ,3.32      ,2.99      ,2.81      ,13.52                       ,20.70   ,291.68            ,-5.14 ,-5.03                  ,+0.79                      ,+4.00                  ,+3.58                   ,+26.32               ,+115.93              ,+35.06               ,+1.02     ,90.77        ,92.29    ,1.69                   ,85.76     ,61.32    ,99.81                   ,5.41                         ,-5.67   ,-1.27 ,-4.88                  ,-0.06                 ,+1.03                  ,+4.61                    ,+2.39                ,+59.70               ,+8.95                ,+12.12            ,7               ,91.06     ,92.29   ,89.85       ,84.93   ,-24.13               ,5.14           ,-3.87    ,-1.40,+1.36                   ,+0.71                    ,+1.16                    ,+3.13                 ,+33.75               ,+83.08               ,+25.38               ,+0.89             ,92.29      ,92.29     ,88.94    ,81.92   ,5.15         ,74.00            ,-0.01         ,0.92              ,--                   ,21.02                    ,2.50            ,--           ,18.76                ,4.20     ,89.98     ,88.19     ,87.40      ,89.30     ,86.48      ,59.03                ,48.54     ,33.79                   ,0.16,92.82               ,4.84                      ,-2.60          ,88.15     ,80.91      ,90.08     ,88.36     ,85.61      ,44.19     ,56.29                ,28.58         ,28.61,0.76       ,-0.87          ,3.40                      ,89.89     ,87.56      ,88.04     ,56.72                ,18.77                   ,34.12   ,86.95                  ,-0.55          ,2.58                      ,-1029.19  , 
MC    ,-4.25      ,34.95     ,149884    ,21.74    ,1.02B     ,39             ,+0.82                     ,28.53     ,37.29     ,-0.14,-100.00     ,--                     ,0.84              ,11.56                  ,37.74                  ,Capital Markets                               ,NYSE    ,MOELIS & CO              ,Investment Banking & Brokerage       ,1.48    ,38.15         ,34.90   ,400     ,211913       ,322868      ,70.73                   ,46.42                  ,No        ,36.50   ,36.85   ,34.95   ,73.82                 ,349184        ,369582     ,42.92                    ,40.56                 ,No                ,Financials                ,3.90          ,37.25     ,34.95   ,200     ,372937      ,83.89                     ,40.19                  ,7.96M          ,No                  ,B  ,--       ,--                 ,--             ,--                    ,--              ,--                     ,--              ,0                 ,--                ,141.86M   ,613.37M,141.86M ,26.68M            ,1.75    ,1.87      ,1.55      ,2.03        ,-0.15     ,4.91      ,--        ,--                          ,6.26    ,950.97            ,-2.30 ,-2.00                  ,-1.29                      ,+2.59                  ,+1.80                   ,+59.17               ,0.00                 ,+57.95               ,+1.86     ,37.75        ,39.65    ,3.05                   ,36.45     ,21.91    ,100.00                  ,7.01                         ,-6.17   ,-0.75 ,+0.55                  ,-0.09                 ,-0.52                  ,+7.47                    ,+14.76               ,+71.82               ,+8.68                ,+71.93            ,3               ,38.50     ,39.90   ,36.75       ,34.79   ,-13.04               ,1.90           ,-1.55    ,-2.01,+0.30                   ,-0.49                    ,-1.37                    ,+0.66                 ,+50.15               ,0.00                 ,+52.90               ,+32.99            ,39.65      ,39.90     ,36.75    ,32.54   ,1.90         ,74.00            ,0.00          ,0.96              ,--                   ,20.45                    ,3.71            ,--           ,18.75                ,1.66     ,37.43     ,37.38     ,35.43      ,37.34     ,35.72      ,45.49                ,48.41     ,32.38                   ,--  ,39.58               ,-0.45                     ,-2.55          ,37.39     ,31.75      ,37.40     ,37.09     ,35.12      ,43.90     ,53.20                ,31.25         ,23.50,0.10       ,-2.00          ,-0.29                     ,37.74     ,36.42      ,36.87     ,51.00                ,16.96                   ,30.21   ,35.89                  ,-2.75          ,-0.54                     ,30.28     , 
THO   ,-4.04      ,91.01     ,463313    ,15.89    ,4.83B     ,145            ,+2.30                     ,38.07     ,93.87     ,-0.43,-100.00     ,2.50                   ,-17.71            ,17.98                  ,94.31                  ,Automobiles                                   ,NYSE    ,THOR INDUSTRIES INC      ,Automobile Manufacturers             ,1.32    ,91.93         ,90.84   ,100     ,677917       ,738351      ,68.34                   ,62.75                  ,No        ,94.84   ,95.33   ,90.88   ,95.91                 ,628113        ,707245     ,73.76                    ,65.51                 ,Yes               ,Consumer Discretionary    ,1.40          ,96.32     ,90.90   ,100     ,613374      ,45.63                     ,75.54                  ,64.36M         ,No                  ,D  ,--       ,B+                 ,72.73          ,--                    ,27.27           ,--                     ,--              ,11                ,1.55              ,256.52M   ,4.58B  ,256.52M ,52.59M            ,5.79    ,4.88      ,3.74      ,6.46        ,3.36      ,2.88      ,2.26      ,9.60                        ,5.60    ,307.52            ,-5.31 ,-5.71                  ,+2.13                      ,-2.52                  ,-3.95                   ,+61.55               ,+263.29              ,+26.99               ,+1.32     ,98.08        ,98.91    ,20.41                  ,90.80     ,60.05    ,97.50                   ,3.53                         ,-5.51   ,-1.48 ,-9.17                  ,-0.04                 ,+2.34                  ,-2.55                    ,-7.81                ,+60.92               ,-6.76                ,+24.32            ,7               ,98.08     ,115.73  ,94.18       ,89.68   ,-30.85               ,4.32           ,-3.83    ,-1.54,+2.16                   ,+2.01                    ,+2.48                    ,-3.96                 ,+49.48               ,+158.57              ,+22.06               ,+15.17            ,98.91      ,115.74    ,91.80    ,88.87   ,4.43         ,12.00            ,-0.11         ,0.70              ,--                   ,18.83                    ,12.70           ,28.45        ,14.23                ,1.06     ,93.50     ,94.86     ,100.52     ,93.99     ,96.22      ,61.62                ,45.64     ,24.49                   ,--  ,98.15               ,5.56                      ,-20.27         ,97.67     ,92.70      ,94.22     ,95.77     ,95.54      ,42.83     ,49.97                ,4.13          ,37.27,-0.52      ,-3.33          ,-14.40                    ,94.31     ,100.27     ,96.20     ,49.96                ,22.55                   ,41.95   ,90.47                  ,-0.18          ,-1.29                     ,-1473.80  , 
NCLH  ,-4.00      ,48.03     ,1641863   ,20.06    ,12.71B    ,159            ,-1.08                     ,24.73     ,52.11     ,0.06 ,-99.88      ,0.44                   ,-32.09            ,29.46                  ,52.78                  ,Hotels Restaurants & Leisure                  ,NASDAQ  ,NORWEGIAN CRUISE LINE HLD,Hotels Resorts & Cruise Lines        ,--      ,55.78         ,48.01   ,100     ,2750770      ,1500816     ,59.69                   ,109.40                 ,No        ,50.03   ,50.31   ,48.04   ,73.29                 ,1816073       ,1397719    ,90.41                    ,117.47                ,No                ,Consumer Discretionary    ,--            ,50.31     ,48.02   ,600     ,1734915     ,73.74                     ,94.64                  ,143.97M        ,No                  ,C  ,--       ,--                 ,40.00          ,10.00                 ,50.00           ,--                     ,--              ,20                ,2.10              ,633.08M   ,4.87B  ,633.08M ,227.88M           ,2.78    ,2.78      ,1.86      ,3.84        ,1.62      ,0.49      ,0.94      ,22.85                       ,12.99   ,162.48            ,-2.28 ,-5.97                  ,-4.67                      ,+3.23                  ,+1.65                   ,+14.72               ,0.00                 ,+26.60               ,+1.18     ,51.55        ,56.29    ,5.98                   ,48.69     ,34.16    ,99.56                   ,11.19                        ,-4.53   ,-0.28 ,+4.90                  ,-0.11                 ,-2.17                  ,+6.87                    ,+31.15               ,+73.19               ,+14.74               ,+15.22            ,2               ,55.93     ,56.29   ,50.18       ,47.96   ,-13.86               ,2.28           ,-2.00    ,-0.56,-0.55                   ,-2.47                    ,-4.13                    ,+0.82                 ,+13.52               ,+75.99               ,+38.74               ,+5.02             ,56.29      ,56.29     ,50.18    ,42.64   ,2.29         ,90.00            ,-0.01         ,0.89              ,--                   ,20.06                    ,5.66            ,128.69       ,14.51                ,2.61     ,52.96     ,51.16     ,47.97      ,52.09     ,49.06      ,33.18                ,48.29     ,35.84                   ,0.12,57.20               ,1.49                      ,-0.17          ,51.05     ,43.88      ,53.40     ,51.07     ,48.44      ,43.18     ,52.00                ,31.37         ,3.79 ,0.77       ,-1.97          ,2.62                      ,52.78     ,49.09      ,50.65     ,48.67                ,18.72                   ,12.33   ,48.35                  ,-1.18          ,-0.79                     ,-9361.81  , 
BWA   ,-3.74      ,39.92     ,1716279   ,62.35    ,8.89B     ,137            ,+1.65                     ,37.20     ,41.35     ,0.27 ,-100.00     ,--                     ,8.55              ,17.39                  ,41.37                  ,Auto Components                               ,NYSE    ,BORGWARNER INC           ,Auto Parts & Equipment               ,0.56    ,41.90         ,39.91   ,100     ,1372682      ,2129680     ,125.03                  ,80.59                  ,Yes       ,41.47   ,42.21   ,39.92   ,94.10                 ,1898376       ,1899023    ,90.41                    ,90.38                 ,No                ,Consumer Discretionary    ,1.30          ,42.21     ,39.92   ,100     ,1854689     ,139.84                    ,92.54                  ,57.60M         ,No                  ,B  ,***      ,B                  ,31.82          ,13.64                 ,40.91           ,4.55                   ,9.09            ,22                ,2.45              ,160.20M   ,9.07B  ,160.20M ,212.22M           ,0.67    ,0.55      ,2.70      ,3.56        ,2.86      ,2.70      ,2.09      ,7.26                        ,1.31    ,335.96            ,-2.29 ,-2.68                  ,+2.03                      ,+2.20                  ,+2.84                   ,-29.17               ,+11.71               ,+28.85               ,+1.59     ,42.37        ,43.39    ,2.03                   ,39.13     ,27.52    ,100.00                  ,4.45                         ,-5.43   ,-0.74 ,+0.02                  ,-0.05                 ,+1.09                  ,+5.50                    ,+6.59                ,-28.67               ,+3.89                ,+5.26             ,1               ,42.37     ,44.24   ,41.75       ,38.04   ,-12.40               ,2.29           ,-1.55    ,-1.75,+0.68                   ,+0.84                    ,+2.64                    ,+1.17                 ,+25.14               ,+9.80                ,+18.84               ,+2.07             ,43.39      ,44.24     ,41.46    ,37.54   ,2.29         ,55.00            ,0.00          ,2.76              ,--                   ,76.18                    ,8.45            ,61.89        ,11.77                ,0.98     ,41.63     ,40.96     ,40.56      ,41.24     ,40.32      ,61.36                ,49.15     ,31.13                   ,--  ,43.08               ,3.36                      ,-2.71          ,41.20     ,38.20      ,41.70     ,40.96     ,40.03      ,46.81     ,54.06                ,11.98         ,40.43,0.34       ,-0.92          ,-0.17                     ,41.37     ,40.95      ,40.87     ,54.92                ,24.47                   ,49.70   ,39.66                  ,0.27           ,-0.36                     ,2217.68   , 
